Party and Electorate Candidate Votes Recorded at each Voting Place
Tauranga 52,Candidate Vote Details
,,"BALDOCK, Larry","CROOKS, Justin Charles Fraser","HARVEY, Erika","LANGRIDGE, Jonathan Mark","SAMUELS, Leon Wharewehe","STOKMAN, Chelsea Jordan","SYDNEY, Mikaere Taingahue","TINETTI, Janette","UFFINDELL, Samuel Julian","YOUNG, Christine Elizabeth",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Tauranga South,"Central Baptist Church Hall, (corner Cameron Road & Thirteenth Avenue)",14,29,43,3,1,4,10,96,149,56,405,4
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",10,26,18,1,3,1,3,85,130,40,317,7
Te Puke,"Te Puke War Memorial Hall, 130 Jellicoe Street",0,2,3,0,0,1,0,5,1,0,12,0
Te Puna,"Te Puna Memorial Hall, 3 Te Puna Road",1,1,5,0,0,1,0,3,13,2,26,1
Welcome Bay,"Welcome Bay Hall, 244 Welcome Bay Road",2,2,1,1,0,2,1,7,7,1,24,0

,Overseas Special Votes Including Defence Force - Tauranga,23,147,47,10,5,6,27,240,522,96,1123,7
,Special Votes BEFORE Polling Day - Tauranga,71,336,216,14,22,22,105,769,1470,276,3301,96
,Special Votes ON Polling Day - Tauranga,56,304,203,17,30,26,80,598,1008,250,2572,74
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,2,3,0,5,0

,Tauranga Total,1039,2729,3403,245,285,246,613,9610,18980,3791,40941,603

,Valid Candidate Votes plus Informal Candidate Votes,,41544

Electorate Candidate Valid Votes,Party,,,"UFFINDELL, Samuel Julian - majority 9370"
"BALDOCK, Larry",Independent,1039,2.54
"CROOKS, Justin Charles Fraser",Green Party,2729,6.67
"HARVEY, Erika",New Zealand First Party,3403,8.31
"LANGRIDGE, Jonathan Mark",New Conservatives,245,0.60
"SAMUELS, Leon Wharewehe",Vision New Zealand,285,0.70
"STOKMAN, Chelsea Jordan",Animal Justice Party ,246,0.60
"SYDNEY, Mikaere Taingahue",Te Pāti Māori,613,1.50
"TINETTI, Janette",Labour Party,9610,23.47
"UFFINDELL, Samuel Julian",National Party,18980,46.36
"YOUNG, Christine Elizabeth",ACT New Zealand,3791,9.26
