Party and Electorate Candidate Votes Recorded at each Voting Place
East Coast Bays 10,Candidate Vote Details
,,"ADAMS, Paul Gavin","CHEN, Naisi","DYET, William Richard","McCOOK, Michael John","STANFORD, Erica",Total Valid Candidate Votes,Informal Candidate Votes
,Special Votes ON Polling Day - East Coast Bays,66,525,76,149,1532,2348,65
,Voting places where less than 6 votes were taken,0,5,0,2,10,17,1

,East Coast Bays Total,890,7334,710,1584,27687,38205,505

,Valid Candidate Votes plus Informal Candidate Votes,,38710

Electorate Candidate Valid Votes,Party,,,"STANFORD, Erica - majority 20353"
"ADAMS, Paul Gavin",NewZeal,890,2.33
"CHEN, Naisi",Labour Party,7334,19.20
"DYET, William Richard",New Zealand Loyal,710,1.86
"McCOOK, Michael John",ACT New Zealand,1584,4.15
"STANFORD, Erica",National Party,27687,72.47
