Party and Electorate Candidate Votes Recorded at each Voting Place
Invercargill 16,Candidate Vote Details
,,"CRAIG, Elizabeth","DONALDSON, Scott Ian","KOWALEWSKI, David John","O'CONNELL, Kevin Patrick","SIMMONDS, Penelope Elsie","TERRILL, Judith Anne",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Waikawa,"Waikawa Public Hall, 11 Larne Street",15,2,14,0,58,0,89,1
Waimahaka,"Waimahaka Community Centre, 15 Waimahaka-Fortification Road",5,2,8,3,60,1,79,1
Wallacetown,"Wallacetown Community Centre, 57 Dunlop Street",59,24,26,5,222,0,336,10
Winton,"Winton Memorial Hall, 2 Meldrum Street",6,3,3,3,34,0,49,0
,"Winton Primary School Hall, 16 Eglinton Street",5,4,1,2,23,0,35,0
Woodlands,"Woodlands Full Primary School, 8 Woodlands-Morton Mains Road",13,17,8,8,163,0,209,3
Wyndham,"Wyndham Primary School, 40 Florence Street",96,21,26,5,183,4,335,6

,Overseas Special Votes Including Defence Force - Invercargill,134,19,15,11,256,5,440,3
,Special Votes BEFORE Polling Day - Invercargill,586,96,58,88,930,10,1768,56
,Special Votes ON Polling Day - Invercargill,557,183,178,100,1017,24,2059,57
,Voting places where less than 6 votes were taken,2,1,1,0,10,1,15,1

,Invercargill Total,10945,1990,1760,1072,20819,307,36893,540

,Valid Candidate Votes plus Informal Candidate Votes,,37433

Electorate Candidate Valid Votes,Party,,,"SIMMONDS, Penelope Elsie - majority 9874"
"CRAIG, Elizabeth",Labour Party,10945,29.67
"DONALDSON, Scott Ian",ACT New Zealand,1990,5.39
"KOWALEWSKI, David John",New Zealand Loyal,1760,4.77
"O'CONNELL, Kevin Patrick",Aotearoa Legalise Cannabis Party,1072,2.91
"SIMMONDS, Penelope Elsie",National Party,20819,56.43
"TERRILL, Judith Anne",Vision New Zealand,307,0.83
