Party and Electorate Candidate Votes Recorded at each Voting Place
Ilam 15,Candidate Vote Details
,,"BRITNELL, Irinka","CAMPBELL, Hamish George","DAVIDSON, Michael John","MANJI, Raf","O'BRIEN, Christopher Michael","O'CONNELL, Juanita Rosa Maree","PALLETT, Sarah Jean",Total Valid Candidate Votes,Informal Candidate Votes
,"St Ninian's Presbyterian Church Hall, 5 Puriri Street",1,59,4,57,0,0,24,145,1
,"Westfield Riccarton, Level 2, 129 Riccarton Road",1,57,15,39,1,2,28,143,2
,"Wharenui School Hall, 32 Matipo Street",1,4,2,8,0,1,5,21,0
Russley,"Russley Playcentre, 8 Apsley Drive",1,147,17,101,8,5,70,349,2
Sockburn,"St Thomas of Canterbury, Classroom, 69 Middlepark Road",0,4,0,2,0,0,0,6,0
,"Te Kāpehu Riccarton Primary School Hall, 1 English Street",1,9,1,11,0,0,5,27,0
Upper Riccarton,"Middleton Grange Primary School Hall, access from 50 Acacia Avenue",0,4,1,3,1,0,5,14,2
,"Te Whare O Meri Villa Maria College Hall, 21 Peer Street, Brodie Street entrance",2,53,11,54,5,0,38,163,1
Yaldhurst,"Yaldhurst Model School, 48 School Road",5,83,4,15,1,0,14,122,4

,Overseas Special Votes Including Defence Force - Ilam,11,651,150,360,8,10,352,1542,4
,Special Votes BEFORE Polling Day - Ilam,80,1761,386,1312,27,34,838,4438,71
,Special Votes ON Polling Day - Ilam,97,1137,303,759,35,41,535,2907,58
,Voting places where less than 6 votes were taken,1,7,0,4,0,1,5,18,0

,Ilam Total,488,18693,2391,10863,300,329,9010,42074,402

,Valid Candidate Votes plus Informal Candidate Votes,,42476

Electorate Candidate Valid Votes,Party,,,"CAMPBELL, Hamish George - majority 7830"
"BRITNELL, Irinka",Aotearoa Legalise Cannabis Party,488,1.16
"CAMPBELL, Hamish George",National Party,18693,44.43
"DAVIDSON, Michael John",Green Party,2391,5.68
"MANJI, Raf",The Opportunities Party (TOP),10863,25.82
"O'BRIEN, Christopher Michael",New Conservatives,300,0.71
"O'CONNELL, Juanita Rosa Maree",DemocracyNZ,329,0.78
"PALLETT, Sarah Jean",Labour Party,9010,21.41
