Party and Electorate Candidate Votes Recorded at each Voting Place
Wellington Central 60,Candidate Vote Details
,,"ALBERT, Natalia","APPLEBY, Michael George","ARNEIL, Taylor Russell","BAINS, Bherminder Singh","FRANKS, Don","GEIRINGER, Karl Thomas","GORDON, Christopher David","LIM, Meg","OMER, Ibrahim","PAUL, Tamatha-Kaye Erin","SHEERAN, Scott",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
,Wellington Central Total,1554,418,493,36,67,43,111,80,12373,18439,11555,45169,287

,Valid Candidate Votes plus Informal Candidate Votes,,45456

Electorate Candidate Valid Votes,Party,,,"PAUL, Tamatha-Kaye Erin - majority 6066"
"ALBERT, Natalia",The Opportunities Party (TOP),1554,3.44
"APPLEBY, Michael George",Aotearoa Legalise Cannabis Party,418,0.93
"ARNEIL, Taylor Russell",New Zealand First Party,493,1.09
"BAINS, Bherminder Singh",Independent,36,0.08
"FRANKS, Don",Workers Now,67,0.15
"GEIRINGER, Karl Thomas",Independent,43,0.10
"GORDON, Christopher David",Animal Justice Party ,111,0.25
"LIM, Meg",Vision New Zealand,80,0.18
"OMER, Ibrahim",Labour Party,12373,27.39
"PAUL, Tamatha-Kaye Erin",Green Party,18439,40.82
"SHEERAN, Scott",National Party,11555,25.58
