Party and Electorate Candidate Votes Recorded at each Voting Place
East Coast 9,Candidate Vote Details
,,"CARACAS, Monaco Quemara Tezinho","COFFEY, Tamati","DICKSON, Gordon John","FLAVELL, Fallyn Rebecca","HOWE, Michael","KIRKPATRICK, Dana Margot","PACKER, Leighton","RICHARDS, Donald","ROBINSON, Christopher Michael","SINCLAIR, Craig Tristan","WALKER, Jordan",Total Valid Candidate Votes,Informal Candidate Votes
Lake Rotoma,"Rotoma and Rotoehu Community Hall, 167 State Highway 30",0,2,0,0,0,9,0,0,1,1,0,13,0
Maketu,"Maketu School, 8 School Road",0,55,4,6,7,35,2,1,2,16,6,134,3
Manawahe,"Manawahe Hall, 1866 Manawahe Road",0,11,0,1,5,35,1,2,1,8,2,66,1
Manutūkē,"Manutuke School, 59 Waingake Road",0,35,1,0,6,32,3,0,3,4,5,89,0
Matatā,"Matatā Public School, 43 Pollen Street",1,104,1,11,21,141,2,1,14,28,12,336,5
Mātāwai,"Matawai School, 29 Raumati Street",0,0,0,0,0,20,0,0,0,3,3,26,0
Minginui,"Minginui Kokiri Centre, 63 Rimu Crescent",0,5,0,3,0,1,0,0,0,0,0,9,0
Mount Maunganui,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",0,7,0,4,2,12,0,0,0,1,3,29,0
Muriwai,"Muriwai School, 1684 Wharerata Road",0,6,0,0,2,3,0,0,0,1,1,13,0
Murupara,"Murupara Area School Hall, 84 Pine Drive",0,45,0,8,3,26,1,0,1,18,3,105,2
Ōhope,"Ōhope Beach School, 170 Pohutukawa Avenue",1,163,2,7,30,299,1,3,16,31,33,586,4
Omarumutu,"Omarumutu School, 141 Omarumutu Road",1,11,0,1,0,11,2,0,0,1,2,29,2
Ōpōtiki,"Ōpōtiki College Hall, 22 St John Street",0,61,0,15,5,54,2,1,3,5,10,156,4
,"Ōpōtiki Senior Citizens Hall, 1 King Street",3,142,1,19,23,139,5,1,15,43,27,418,6
,"Woodlands School, 168 Dip Road",0,47,0,3,14,83,1,0,0,18,2,168,2
Otakiri,"Otakiri District Hall, 579 Otakiri Road",0,21,0,0,11,96,2,0,2,16,1,149,2
Otamarakau,"Otamarakau Hall, 2255 Old Coach Road",0,18,0,1,4,70,0,2,0,2,0,97,1
Paengaroa,"Paengaroa School Hall, 33 Old Coach Road",0,67,1,11,32,258,10,4,4,27,17,431,5
Papamoa Beach,"Papamoa Community Centre, 15 Gravatt Road",0,1,0,1,1,7,0,0,0,1,0,11,0
,"Papamoa Plaza, Food Court, 7 Gravatt Road",0,3,0,0,1,4,0,0,0,0,2,10,0
Pātūtahi,"Patutahi School, 29 Atkins Street",0,37,0,4,2,57,2,1,0,9,2,114,1
Pongakawa,"Pongakawa Hall, 956 Old Coach Road",0,33,0,4,19,146,1,1,2,17,9,232,4
Pukehina,"Pukehina School, 1762 Old Coach Road",0,13,0,0,3,31,1,0,4,0,1,53,1
Pukehina Beach,"Pukehina Fishing Club, 304 Pukehina Parade",0,52,0,3,14,126,0,0,3,15,11,224,2
Raukokore,"Old Raukokore School, 10104 State Highway 35",0,16,0,1,2,12,0,3,2,2,1,39,2
Ruatoki,"Te Whare Kura o Ruatoki, 16 Mission Road",0,8,0,4,0,0,0,0,0,0,2,14,0
Ruatoria,"Ngata Memorial College, 1 College Road North",0,37,0,0,0,14,1,0,0,3,5,60,0
Tāneatua,"Tāneatua School, 44 McKenzie Street",1,41,0,11,4,40,0,0,3,9,3,112,2
Te Araroa,"Te Waha O Rerekohu Area School, 3 Arewhana Street",0,26,0,1,0,6,0,0,0,2,3,38,0
Te Kaha,"Te Kura o Te Whanau-a-Apanui, 6870 State Highway 35",0,28,0,14,4,18,0,0,1,10,4,79,2
Te Karaka,"Te Karaka Area School, 5 Kanakanaia Road",0,47,0,2,6,82,4,2,8,11,0,162,2
Te Puke,"Te Puke High School Hall, 19 Tui Street",0,2,1,1,2,6,0,0,1,1,0,14,0
,"Te Puke War Memorial Hall, 130 Jellicoe Street",0,28,0,1,14,65,1,1,0,8,5,123,0
Te Teko,"Te Kura o Te Teko School Hall, 24 Te Teko Road",0,44,0,20,4,21,0,0,1,7,4,101,2
Thornton,"Thornton School, 43 Eastbank Road",0,24,0,0,13,118,1,0,8,7,2,173,0
Tikitiki,"Tikitiki School, 33 Rangitukia Road",0,22,0,3,0,6,2,0,0,0,1,34,1
Tokomaru Bay,"Hatea-A-Rangi School, 6 School Road",0,49,0,3,0,23,0,0,1,10,4,90,0
Tolaga Bay,"Tolaga Bay Area School, 24 Resolution Street",0,70,0,2,3,52,3,0,1,1,4,136,2
Tōrere,"Te Kura o Tōrere, 2276 State Highway 35",0,4,0,2,3,0,0,0,0,1,1,11,0
Waerengaokurī,"Waerenga-O-Kuri School, 1763 Tiniroto Road",0,0,0,0,2,3,0,0,0,1,0,6,0
Waimana,"Nukuhou North School, 1647 State Highway 2",0,15,0,2,4,40,0,0,10,9,4,84,0
,"Waimana School, 6 Raroa Road",0,11,0,4,0,12,0,0,0,2,2,31,0
Waitangi,"Te Kura Kaupapa Māori o Te Matai, 1327A Te Puke Highway",0,5,0,4,3,12,1,0,0,1,0,26,0
Whakatāne,"Allandale School, 167 King Street",2,147,2,11,16,114,1,3,11,29,14,350,3
,"Awakeri School, 974 State Highway 30",0,62,0,5,18,204,2,1,11,15,15,333,5
,"Te Kura Kaupapa Māori o Te Orini ki Ngati Awa, 33 Meadow Vale",0,78,0,4,21,163,0,0,6,16,16,304,0
,"Whakatāne High School, 56 Goulstone Road",2,113,0,18,18,101,1,0,7,15,11,286,6
,"Whakatane Intermediate School, 101 James Street",2,144,1,13,30,153,9,1,12,31,32,428,3
,"Whakatāne War Memorial Hall, 7 Short Street",3,360,1,42,73,368,4,0,32,99,43,1025,13
Whangara,"Whangara School, 44 Pa Road",0,2,0,0,0,15,0,0,0,1,0,18,0
Whatatutu,"Whatatutu School, 24 Te Hau Road",1,13,0,1,1,4,1,0,0,0,0,21,0

,Overseas Special Votes Including Defence Force - East Coast,0,222,1,27,45,310,4,0,9,27,63,708,4
,Special Votes BEFORE Polling Day - East Coast,8,881,1,150,119,867,26,6,20,144,168,2390,45
,Special Votes ON Polling Day - East Coast,7,845,5,139,156,782,27,11,33,147,182,2334,43
,Voting places where less than 6 votes were taken,0,5,0,7,0,2,0,0,0,1,0,15,0

,East Coast Total,68,13808,66,1235,1923,17007,323,104,625,2517,1765,39441,509

,Valid Candidate Votes plus Informal Candidate Votes,,39950

Electorate Candidate Valid Votes,Party,,,"KIRKPATRICK, Dana Margot - majority 3199"
"CARACAS, Monaco Quemara Tezinho",Independent,68,0.17
"COFFEY, Tamati",Labour Party,13808,35.01
"DICKSON, Gordon John",Independent,66,0.17
"FLAVELL, Fallyn Rebecca",Te Pāti Māori,1235,3.13
"HOWE, Michael",ACT New Zealand,1923,4.88
"KIRKPATRICK, Dana Margot",National Party,17007,43.12
"PACKER, Leighton",Vision New Zealand,323,0.82
"RICHARDS, Donald",Independent,104,0.26
"ROBINSON, Christopher Michael",DemocracyNZ,625,1.58
"SINCLAIR, Craig Tristan",New Zealand First Party,2517,6.38
"WALKER, Jordan",Green Party,1765,4.48
