Party and Electorate Candidate Votes Recorded at each Voting Place
Banks Peninsula 2,Candidate Vote Details
,,"ALLINGTON, Douglas","JEET, Paran","KERSLAKE, Lindsay","McLELLAN, Tracey Lee","MEAD, Lisa Marie","PHAM, Ngoc-Lan Thi","TRASK, Laura Barbara","WAKEMAN, Peter Keith","WEENINK, Vanessa",Total Valid Candidate Votes,Informal Candidate Votes
,Special Votes BEFORE Polling Day - Banks Peninsula,36,30,127,1185,30,798,203,11,1300,3720,49
,Special Votes ON Polling Day - Banks Peninsula,52,35,119,983,46,722,182,34,1179,3352,54
,Voting places where less than 6 votes were taken,0,0,0,3,0,1,0,0,3,7,0

,Banks Peninsula Total,474,369,1598,17464,544,8325,2073,184,17860,48891,440

,Valid Candidate Votes plus Informal Candidate Votes,,49331

Electorate Candidate Valid Votes,Party,,,"WEENINK, Vanessa - majority 396"
"ALLINGTON, Douglas",DemocracyNZ,474,0.97
"JEET, Paran",Animal Justice Party ,369,0.75
"KERSLAKE, Lindsay",New Zealand First Party,1598,3.27
"McLELLAN, Tracey Lee",Labour Party,17464,35.72
"MEAD, Lisa Marie",NewZeal,544,1.11
"PHAM, Ngoc-Lan Thi",Green Party,8325,17.03
"TRASK, Laura Barbara",ACT New Zealand,2073,4.24
"WAKEMAN, Peter Keith",Independent,184,0.38
"WEENINK, Vanessa",National Party,17860,36.53
