Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Candidate Vote Details
,,"TANGAERE-MANUEL, Cushla","TUHAKARAINA, Ueraata Butch-Keegan","WHAITIRI, Meka",Total Valid Candidate Votes,Informal Candidate Votes
,"Wairarapa Boxing Academy, 165 Dixon Street",42,5,51,98,3
,"War Memorial Stadium Foyer, Recreation Centre, 2 Dixon Street",58,2,62,122,4
Pahiatua,"Pahiatua Town Hall, Supper Room, 5 Kiwi Street",27,4,24,55,6
Taken in Tukituki,"Pop-up Voting Services, Various Locations - Central Hawkes Bay and Tararua",11,1,17,29,2
Taken in Wairarapa,"Pop-up Voting Services, Various Locations - Masterton and South Wairarapa",13,2,21,36,0
Waipawa,"Waipawa Library, Meeting Room, 64 High Street",34,4,18,56,1
Waipukurau,"Waipukurau Library, Meeting Rooms, 4 Bogle Brothers Esplanade",111,8,99,218,7
Woodville,"Woodville Sports Stadium, Supper Room, 64 Ross Street",11,1,14,26,1
Wellington Central
Kelburn,"Victoria University, The Hub, Kelburn Parade",3,0,10,13,1
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",27,1,39,67,1
,"He Herenga Kura, Level 4, 120 Featherston Street, access from Waring Taylor Street",3,0,4,7,0
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",6,3,12,21,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",24,0,32,56,0

Voting Places
East Coast
Gisborne,"Awapuni School, 129 Awapuni Road",37,2,7,46,1
,"Cobham School, 264A Lytton Road",77,6,34,117,3
,"Elgin School, 2 Knox Street",101,2,37,140,0
,"Gisborne Boys High School, 80 Stanley Road",93,0,44,137,4
,"Gisborne Central School Hall, 7 Central Street",35,5,24,64,1
,"Gisborne Hospital, Poutama Room, 421 Ormond Road",67,0,34,101,4
,"Gisborne Intermediate School, 156 Roebuck Road",24,2,8,34,1
,"Ilminster Intermediate, 70 De Lautour Road",124,9,69,202,4
,"Kaiti School, 517 Wainui Road",129,5,70,204,3
,"Makaraka School, 137 Main Road South",32,0,21,53,2
,"Makauri School, 120 King Road",11,0,1,12,1
,"Mangapapa School, 5 Rua Street",75,3,34,112,6
,"Ormond School, 45 Whitmore Road",10,2,7,19,0
,"Tairawhiti Museum, 10 Stout Street",32,1,22,55,1
,"Te Hapara School, 31 Mill Road",79,5,20,104,2
,"Te Whakaruruhau Kōhanga Reo, 170 Tyndall Road",43,2,25,70,0
,"Treble Court, Peel Street",99,4,34,137,1
