Party and Electorate Candidate Votes Recorded at each Voting Place
Waitaki 59,Candidate Vote Details
,,"ANDERSON, Miles John","BAILEY, Raymond Samuel","BEAMISH, Sean Michael","HANSEN, Pleasance","ODERING, Anthony Vickers","REILLE, Ethan","SHAND, Daniel","SMALL, Roger",Total Valid Candidate Votes,Informal Candidate Votes
,Voting places where less than 6 votes were taken,18,0,1,1,1,3,0,3,27,0

,Waitaki Total,22675,1125,2477,3495,1823,10524,584,1078,43781,484

,Valid Candidate Votes plus Informal Candidate Votes,,44265

Electorate Candidate Valid Votes,Party,,,"ANDERSON, Miles John - majority 12151"
"ANDERSON, Miles John",National Party,22675,51.79
"BAILEY, Raymond Samuel",New Zealand Loyal,1125,2.57
"BEAMISH, Sean Michael",ACT New Zealand,2477,5.66
"HANSEN, Pleasance",Green Party,3495,7.98
"ODERING, Anthony Vickers",New Zealand First Party,1823,4.16
"REILLE, Ethan",Labour Party,10524,24.04
"SHAND, Daniel",Independent,584,1.33
"SMALL, Roger",DemocracyNZ,1078,2.46
