Party and Electorate Candidate Votes Recorded at each Voting Place
Northcote 31,Candidate Vote Details
,,"BIDOIS, Daniel Michael","DONALDSON, Mark Andrew","FOLEY, Leo George","HALBERT, Shanan","SHAW, Andrew","WARREN, Michelle",Total Valid Candidate Votes,Informal Candidate Votes
,Special Votes BEFORE Polling Day - Northcote,2014,13,118,990,514,110,3759,84
,Special Votes ON Polling Day - Northcote,1324,18,86,772,376,82,2658,53
,Voting places where less than 6 votes were taken,1,0,0,3,0,0,4,0

,Northcote Total,20807,186,962,11537,3341,1048,37881,426

,Valid Candidate Votes plus Informal Candidate Votes,,38307

Electorate Candidate Valid Votes,Party,,,"BIDOIS, Daniel Michael - majority 9270"
"BIDOIS, Daniel Michael",National Party,20807,54.93
"DONALDSON, Mark Andrew",Vision New Zealand,186,0.49
"FOLEY, Leo George",ACT New Zealand,962,2.54
"HALBERT, Shanan",Labour Party,11537,30.46
"SHAW, Andrew",Green Party,3341,8.82
"WARREN, Michelle",New Zealand First Party,1048,2.77
