Party and Electorate Candidate Votes Recorded at each Voting Place
Kelston 19,Candidate Vote Details
,,"CURRAN, Jacob Kevin","DEGIA-PALA, Anne","GHAHRAMAN, Golriz","HAREMA, Jacqueline Hokimate","HOOD, Alister","MANUKIA, Ruby","SEPULONI, Carmel Jean","TILDSLEY, Leao",Total Valid Candidate Votes,Informal Candidate Votes
,"Waterview Primary School Hall, 16 Herdman Street",8,3,28,4,0,27,85,0,155,1
Westgate,"Te Manawa Library Community Hub, 11 Kōhūhū Lane",0,2,2,0,0,4,4,0,12,0
,"Westgate Shopping Centre, opposite Robert Harris, Fred Taylor Drive",1,0,1,1,0,7,1,1,12,0

,Overseas Special Votes Including Defence Force - Kelston,37,19,120,9,3,254,232,9,683,4
,Special Votes BEFORE Polling Day - Kelston,199,86,526,105,17,1100,1300,26,3359,79
,Special Votes ON Polling Day - Kelston,181,129,482,129,30,905,1533,39,3428,96
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,0,0,0

,Kelston Total,1774,1142,3777,679,219,10017,14413,416,32437,533

,Valid Candidate Votes plus Informal Candidate Votes,,32970

Electorate Candidate Valid Votes,Party,,,"SEPULONI, Carmel Jean - majority 4396"
"CURRAN, Jacob Kevin",ACT New Zealand,1774,5.47
"DEGIA-PALA, Anne",New Zealand First Party,1142,3.52
"GHAHRAMAN, Golriz",Green Party,3777,11.64
"HAREMA, Jacqueline Hokimate",Te Pāti Māori,679,2.09
"HOOD, Alister",New Conservatives,219,0.68
"MANUKIA, Ruby",National Party,10017,30.88
"SEPULONI, Carmel Jean",Labour Party,14413,44.43
"TILDSLEY, Leao",DemocracyNZ,416,1.28
