Party and Electorate Candidate Votes Recorded at each Voting Place
Taranaki-King Country 50,Candidate Vote Details
,,"BURR, William Bruce","KURIGER, Barbara Joan","RAISON, Daryl Morice William","ROBERTS, Angela",Total Valid Candidate Votes,Informal Candidate Votes
Waitomo Caves,"Waitomo Caves School, half way up Hotel Access Road",20,59,1,33,113,5
Waitoriki,"Waitoriki School, 364 Lincoln Road",2,59,2,16,79,2
Wharepapa,"Wharepapa South School, 14 Wharepapa South Road",14,43,3,16,76,1
Whatawhata,"Whatawhata School, 9 Kura Street",59,436,20,163,678,12

,Overseas Special Votes Including Defence Force - Taranaki-King Country,36,374,15,235,660,8
,Special Votes BEFORE Polling Day - Taranaki-King Country,216,1572,66,794,2648,99
,Special Votes ON Polling Day - Taranaki-King Country,360,1644,98,816,2918,117
,Voting places where less than 6 votes were taken,0,0,0,0,0,0

,Taranaki-King Country Total,3388,24760,948,10405,39501,1029

,Valid Candidate Votes plus Informal Candidate Votes,,40530

Electorate Candidate Valid Votes,Party,,,"KURIGER, Barbara Joan - majority 14355"
"BURR, William Bruce",Independent,3388,8.58
"KURIGER, Barbara Joan",National Party,24760,62.68
"RAISON, Daryl Morice William",Vision New Zealand,948,2.40
"ROBERTS, Angela",Labour Party,10405,26.34
