Party and Electorate Candidate Votes Recorded at each Voting Place
Waiariki 72,Candidate Vote Details
,,"BOYNTON, Toni Olivia","HUNIA, Charles Tiki","WAITITI, Rawiri",Total Valid Candidate Votes,Informal Candidate Votes
,"Whareroa Marae, 25 Taiaho Place",6,2,43,51,1
Parkvale,"Fraser Cove, former Number One Shoes, 241 Fraser Street",62,13,195,270,3
Taken in Tauranga,"Care Homes Team, Team 1",8,5,17,30,1
Tauranga,"Shop next to Books A Plenty, 74 Grey Street",19,8,94,121,4
Tauranga South,"Central Baptist Church Hall, (corner Cameron Road & Thirteenth Avenue)",8,3,40,51,1
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",27,8,134,169,4

Voting Places
Bay of Plenty
Hairini,"Baden-Powell Centre, Ila Park, 46 Harrisfield Drive",6,4,28,38,2
Lower Kaimai,"Kaimai School, 1853 State Highway 29",0,0,6,6,0
Matapihi,"Te Kura o Matapihi, 398 Matapihi Road",10,1,84,95,1
Maungatapu,"Maungatapu Kindergarten, 187 Te Hono Street",7,1,16,24,0
,"Maungatapu School Library, 164 Maungatapu Road",6,7,56,69,2
Mount Maunganui,"Arataki Community Centre, Zambuk Way, off Grenada Street",9,1,38,48,0
,"Arataki School, 4 Kaimanawa Street",3,2,10,15,0
,"Bayfair Shopping Centre, outside Barkers, 19 Girven Road (corner Maunganui Road)",4,1,18,23,2
,"Bayfair Shopping Centre, outside Just Jeans, 19 Girven Road (corner Maunganui Road)",5,3,41,49,0
,"Mount Maunganui Intermediate School Hall, 21 Lodge Avenue",3,0,7,10,1
,"St Mary's Anglican Church Hall, 33 Girven Road (corner Marlin Street)",3,1,13,17,0
Oropi,"Oropi Memorial Hall and Community Centre, 1295 Oropi Road",3,0,8,11,2
Papamoa Beach,"Evans Road Community Church, 30 Evans Road",5,1,26,32,0
,"Golden Sands Baptist Church, 42 Piata Street (corner Te Okuroa Drive & Stevenson Drive)",1,0,10,11,0
,"Golden Sands School, 26 Golden Sands Drive",5,1,27,33,2
,"Papamoa Community Centre, 15 Gravatt Road",10,2,35,47,1
,"Papamoa Plaza, Food Court, 7 Gravatt Road",9,2,43,54,0
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 80 Alice Lane, off Parton Road",6,2,30,38,1
,"Te Ākau ki Pāpāmoa School, 29 Doncaster Drive",5,2,17,24,1
,"Te Manawa ō Pāpāmoa School, 72 Te Okuroa Drive",0,1,16,17,0
Poike,"Changepoint Church, 131 Poike Road",9,0,17,26,1
Pyes Pa,"Pyes Pā School, 978 Pyes Pa Road",1,2,15,18,0
,"Taumata School, 145 Mortlake Heights",6,1,16,23,1
Te Puna,"Te Puna Memorial Hall, 3 Te Puna Road",5,1,33,39,0
,"Te Puna School Hall, 225 Te Puna Road (corner Borell Road)",9,0,40,49,0
Welcome Bay,"Selwyn Ridge School, 20 Holmburn Street",3,1,17,21,0
,"Welcome Bay Hall, 244 Welcome Bay Road",19,6,66,91,4
,"Welcome Bay School, 309 Welcome Bay Road",3,1,13,17,0
Coromandel
Athenree,"Athenree Fire Brigade Hall, 43 Roretana Drive",1,1,10,12,0
Katikati,"Katikati Primary School, 28 Beach Road",11,3,23,37,2
,"Pātuki Manawa Digital Hub, 21 Main Road",7,1,19,27,1
Matakana Island,"Te Kura o Te Moutere o Matakana, 183 Opureora Road",11,4,54,69,1
Ōmokoroa,"Ōmokoroa Settler's Hall, 334 Omokoroa Road",5,1,11,17,1
,"Omokoroa Sports Pavilion, Activity Room, 28 Western Avenue",1,0,6,7,0
Pahoia,"Pahoia School, Community Hall, 29 Esdaile Road",0,1,9,10,0
Tahawai,"Tuapiro Marae, 24 Hikurangi Road",2,0,23,25,0
Whakamārama,"Whakamarama Community Centre, 469 Whakamarama Road",4,2,7,13,2
East Coast
