Party and Electorate Candidate Votes Recorded at each Voting Place
Hauraki-Waikato 66,Candidate Vote Details
,,"MAHUTA, Nanaia Cybele","MAIPI-CLARKE, Hana-Rawhiti","POKERE-PHILLIPS, Donna",Total Valid Candidate Votes,Informal Candidate Votes
Takanini,"Bruce Pulman Park, Arena Cafe, Gate A, 90 Walters Road",21,32,1,54,1
,"Takanini Hall, 8 Takanini Road",14,26,1,41,0
,"The Warehouse Takanini, 30 Walters Road",66,74,10,150,6
Taranaki-King Country
Kihikihi,"Kihikihi Town Hall, 26 Lyon Street",20,13,3,36,3
Ngāhinapōuri,"Ngahinapouri Hall, 1185 Kakaramea Road",4,2,0,6,0
Raglan,"Raglan Town Hall, 41 Bow Street",71,115,8,194,8
Te Awamutu,"PAK'nSAVE Te Awamutu, 670 Cambridge Road",95,104,16,215,17
,"Te Awamutu Scout Hall, 11 Scout Lane",93,63,10,166,6
Whatawhata,"Whatawhata School, 9 Kura Street",12,10,2,24,1
Taupō
Cambridge,"Cambridge Town Hall, Victoria Room, (corner Queen Street & Victoria Street)",26,28,10,64,6
,"Hautapu Rugby Club, 211 Victoria Street",19,24,6,49,5
,"Raleigh Street Christian Centre, 24 Raleigh Street",33,24,1,58,2
Waikato
Huntly,"Huntly Town Centre, former ANZ Bank, 127 Main Street",213,228,17,458,16
Huntly West,"Te Wharekura o Rakaumanga, Library, 26 McDiarmid Crescent",31,57,0,88,3
,"Tuuhono Hauora, 2 Bridge Street",54,86,2,142,2
Matamata,"Matamata St John Hall, (corner Ngaio Street & Rawhiti Avenue)",58,87,10,155,10
Morrinsville,"Morrinsville Rotary Community Centre, 45 Canada Street",60,78,11,149,13
Ngāruawāhia,"Ngāruawāhia War Memorial Hall, 5 Galileo Street",261,290,15,566,6
Tamahere,"Tamahere WDC Community Hub, (corner Wiremu Tamihana Drive & Devine Road)",6,7,4,17,0
Te Aroha,"Te Aroha Silver Fern Farms Events Centre, Ballance Room, 44 Stanley Avenue",16,13,1,30,2
,"Te Aroha St Joseph's Parish Hall, 224 Whittaker Street",21,17,3,41,1

Voting Places
Coromandel
Colville,"Colville School, 2391 Colville Road",2,9,0,11,0
Coromandel,"Coromandel Citizen's Hall, 455 Kapanga Road",16,15,3,34,0
Kaiaua,"Kaiaua School, 1061 East Coast Road",20,10,4,34,1
Kennedy Bay,"Te Kura Kaupapa Māori o Harataunga, 1416 Kennedy Bay Road",9,14,1,24,0
Kerepehi,"Kerepehi School, 11 McGowan Avenue",9,19,4,32,0
Manaia,"Te Wharekura o Manaia, 22 Goldfields Road",22,16,2,40,1
Mangatangi,"Mangatangi School, 2047 Miranda Road",6,7,0,13,1
Ngatea,"Ngātea War Memorial Hall, 66 Orchard West Road",9,17,2,28,3
Opoutere,"Opoutere School, 1203 Tairua Road",7,3,0,10,0
Paeroa,"Miller Avenue School, 30 Miller Avenue",5,6,1,12,0
,"Paeroa Memorial Hall, 144 Normanby Road",45,45,6,96,4
Pauanui,"Pauanui Sport & Recreation Club, 31 Sheppard Avenue",6,0,0,6,0
Puriri,"Puriri School Library, 16 Puriri Valley Road",3,2,1,6,0
Tairua,"Tairua Community Hall, 210 Main Road",2,7,0,9,0
Tapu,"Tapu School, 719 Thames Coast Road",4,4,1,9,1
Te Puru,"Te Puru School Hall, 507 Thames Coast Road",9,6,2,17,1
Thames,"Moanataiari School, 101 Kuranui Street",5,6,1,12,0
,"Pārāwai School, 106 Lowe Avenue",8,4,0,12,2
,"Thames High School, 300 Sealy Street",13,8,2,23,1
,"Thames South School, 307 Rolleston Street",12,15,3,30,2
,"Thames War Memorial Civic Centre Auditorium, 200 Mary Street",21,18,2,41,5
Turua,"Turua Primary School, 523 Hauraki Road",3,4,2,9,2
Waihi,"Waihi East School, 8 Donnelly Street",5,5,0,10,1
,"Waihi War Memorial Hall, 41 Seddon Street",14,34,5,53,3
Waihi Beach,"Waihi Beach Community Centre, 106 Beach Road",4,5,3,12,1
Waitakaruru,"Waitakaruru School, 8 Canal West Road (corner State Highway 25)",2,4,0,6,0
Whangamatā,"Whangamatā Memorial Hall, 328 Port Road",9,16,8,33,2
Whitianga,"Crossroads Encounter Fellowship, 36 Cook Drive",3,15,5,23,1
,"Mercury Bay Area School, 20 South Highway",2,5,0,7,0
,"Mercury Bay Community Board Room, 10 Monk Street",9,1,1,11,0
Hamilton East
Chartwell,"Chartwell Cooperating Parish Hall, (corner Comries Road & Belmont Avenue)",32,25,2,59,0
,"Chartwell Shopping Centre, Level 1, 201 Hukanui Road",17,18,3,38,1
,"Chartwell Shopping Centre, Level 2, 201 Hukanui Road",17,19,1,37,1
,"Fairfield College, 25 Bankwood Road",17,17,2,36,2
Claudelands,"Peachgrove Intermediate School, 72 Peachgrove Road",15,16,0,31,0
Claudelands Park,"Settlement Centre Waikato, 46G Boundary Road",30,29,3,62,2
Enderley,"Insoll Avenue School, 95 Insoll Avenue",44,33,2,79,4
,"Te Papanui Enderley Community Trust, 66 Tennyson Road",25,20,1,46,2
,"Te Wharekura o Kirikiriroa, 33 Fifth Avenue",27,43,1,71,1
Fairfield,"Fairfield Baptist Church Hall, 1101 Heaphy Terrace",18,13,1,32,0
,"Fairfield Intermediate School, 261 Clarkin Road",20,15,2,37,2
,"Wesley Methodist Hall, 955 Heaphy Terrace",25,25,2,52,1
,"Woodstock Primary School Hall, 43 Fairfield Avenue",12,10,3,25,1
Flagstaff,"Endeavour School, 86 Endeavour Avenue",6,2,3,11,1
Hamilton East,"Graceway Church, 69 Grey Street",11,9,0,20,2
,"Hamilton East Primary School, 7 Dawson Street",7,12,0,19,0
,"Kirikiriroa Marae, 951 Wairere Drive",28,37,0,65,0
,"Marian Catholic School, 119 Firth Street",9,8,0,17,0
,"St John's Methodist Church Centre, 20 Wellington Street",17,18,2,37,2
Hillcrest,"Hillcrest Normal School, 218 Cambridge Road",8,16,0,24,3
,"Knighton Normal School, 45 Knighton Road",17,33,2,52,2
,"St John's College, 85 Hillcrest Road",4,6,0,10,0
Rototuna,"Chapel Hill Community Church, 2 Cate Road",16,9,3,28,1
,"Rototuna Primary School, 23 Strathmore Drive",19,26,2,47,2
Silverdale,"Hillcrest High School, 141 Masters Avenue",13,15,3,31,1
Hamilton West
Dinsdale,"Aberdeen School, 48-62 Aberdeen Drive",29,30,1,60,0
,"Rhode Street School, 7 Rhode Street",47,51,3,101,2
Flagstaff,"Te Ao Mārama School, 33 Hare Puke Drive",15,20,4,39,0
Forest Lake,"Holy Trinity Anglican Church, 87 Forest Lake Road",19,22,2,43,1
Frankton,"Frankton School Hall, 206 Massey Street",44,55,2,101,1
,"Go Eco Waikato Environmental Centre, 188 Commerce Street (corner Commerce Street & Kent Street)",19,22,1,42,4
,"Westside First Church Hall, 11 King Street",7,10,0,17,1
Glenview,"Glenview Community Centre, 12 Tomin Road",54,61,2,117,1
Hamilton Central,"Centre Place, 501 Victoria Street",18,22,2,42,0
,"K'aute Pasifika Fale, (corner Seddon Road & Mill Street)",15,20,0,35,0
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",9,7,0,16,0
,"The Verandah, Lake Domain Drive",10,29,2,41,0
Hamilton West,"Hamilton West School, 36 Hammond Street",7,5,1,13,2
Maeroa,"Maeroa Intermediate School, 57 Churchill Avenue",20,30,0,50,1
Melville,"Melville Community Hall, 84 Ohaupo Road",38,26,2,66,0
,"Melville Methodist Church Hall, 4 Bader Street",48,53,2,103,2
