Party and Electorate Candidate Votes Recorded at each Voting Place
Wigram 65,Candidate Vote Details
,,"ANDERSON, Blair John","CULLIMORE, Debra Marie","HANSEN, Christopher Michael","McTAGUE, Geoffrey William","NANDWANI-LYNN, Ankita","SUMMERFIELD, Tracy Sheree","THOMSON, Wiremu Li-An James","VAN DUIVENBODEN, Christine Sue","WESLEY, Richard","WOODS, Megan Cherie",Total Valid Candidate Votes,Informal Candidate Votes
Electorate Candidate Valid Votes,Party,,,"WOODS, Megan Cherie - majority 1179"
"ANDERSON, Blair John",Aotearoa Legalise Cannabis Party,696,1.88
"CULLIMORE, Debra Marie",Leighton Baker Party,284,0.77
"HANSEN, Christopher Michael",Economic Euthenics ,74,0.20
"McTAGUE, Geoffrey William",Independent,110,0.30
"NANDWANI-LYNN, Ankita",ACT New Zealand,1520,4.11
"SUMMERFIELD, Tracy Sheree",National Party,14411,38.97
"THOMSON, Wiremu Li-An James",Independent,125,0.34
"VAN DUIVENBODEN, Christine Sue",New Zealand Loyal,392,1.06
"WESLEY, Richard",Green Party,3780,10.22
"WOODS, Megan Cherie",Labour Party,15590,42.16
