Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Candidate Vote Details
,,"DAVIS, Kelvin Glen","HERBERT, Maki","KAPA-KINGI, Mariameno","LYNDON, Hūhana","TOAUTU, Paturiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
Kawakawa,"Te Hononga Work Room, Hundertwasser Memorial Park, Gillies Street",270,13,154,91,2,530,5
Kerikeri,"Cornerstone Whare Karakia O Manako, 144 Kerikeri Road",39,9,40,23,2,113,5
,"Kerikeri Baptist Church, 41 Hobson Avenue",90,13,64,37,3,207,10
Mangawhai Heads,"New World Mangawhai Car Park, 83 Molesworth Drive",31,9,28,13,5,86,4
Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",27,7,11,7,1,53,0
Paihia,"Paihia War Memorial & Community Hall, 8 Williams Road",67,14,47,29,3,160,8
Rawene,"Rawene Town Hall, 9 Parnell Street",75,13,40,26,0,154,5
Russell,"Anglican Parish Hall, Church Street",38,3,11,10,0,62,4
Taken in Northland,"Care Homes, Team 1",29,4,9,3,0,45,0
,"Pop-up Voting Services, Various Locations - Far North",79,10,90,19,2,200,9
,"Pop-up Voting Services, Various Locations - Hokianga",87,17,37,36,1,178,1
Waipapa,"Baysport Pavilion, Harmony Lane",23,4,10,13,0,50,1
Te Atatū
Henderson,"Sturges West Community House, 58 Summerland Drive",25,2,46,8,2,83,2
,"Te Pai Centre, 31-35 Te Pai Place",40,1,34,6,2,83,1
,"Waitakere Hospital, Main Entrance Foyer, 55-75 Lincoln Road",8,1,14,2,0,25,0
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",52,7,82,11,1,153,2
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",44,6,49,19,0,118,2
Rānui,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",51,7,46,23,2,129,1
Te Atatū Peninsula,"Te Atatū Peninsula Community Centre, 595 Te Atatū Road",81,13,149,39,5,287,5
Te Atatū South,"St Giles Presbyterian Church, 1 Flanshaw Road",5,2,3,1,0,11,1
Upper Harbour
Glenfield,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",9,2,13,5,1,30,3
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",5,1,5,0,1,12,0
Greenhithe,"Greenhithe School Hall, Sunnyview Road entrance, next to 6 Sunnyview Road",9,3,4,3,1,20,2
Hobsonville Point,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",6,0,8,5,1,20,1
,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",2,0,3,6,0,11,0
Massey,"Massey High School, 274 Don Buck Road",17,4,27,8,2,58,1
,"Massey Matters, Massey Community Hub, 385 Don Buck Road",57,5,76,20,0,158,4
West Harbour,"Marina View School, 97 Marina View Drive",7,4,6,7,1,25,0
,"Westgate Baptist Church, 67 Hobsonville Road",19,2,26,3,1,51,2
Whangaparāoa
Dairy Flat,"Dairy Flat Community Hall, 4 Postman Road",2,4,5,2,1,14,1
Gulf Harbour,"Marine Village Town Centre, The Vine Community Church, Unit F/158 Harbour Village Drive",8,2,4,4,0,18,1
Manly,"Manly Methodist Church, 945 Whangaparāoa Road",11,3,6,2,2,24,3
Orewa,"Orewa Baptist Church, 1 Centreway Road, access from rear carpark",3,0,5,0,3,11,1
,"Orewa Community Centre, Main Hall, 40-46 Orewa Square",26,4,12,12,6,60,6
Red Beach,"Red Beach Methodist Church, 76 Red Beach Road",14,2,6,4,1,27,3
