Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Candidate Vote Details
,,"DAVIS, Kelvin Glen","HERBERT, Maki","KAPA-KINGI, Mariameno","LYNDON, Hūhana","TOAUTU, Paturiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
Waipapa,"Baysport Pavilion, Harmony Lane",24,2,9,9,2,46,2
Waipapakauri,"Paparore School, 157 West Coast Road",11,2,3,1,0,17,0
Whakapara,"Whakapara Community Hall, (corner McLennan Road & Old North Road)",7,3,5,7,0,22,2
Whananaki,"Whananaki School, 2168 Whananaki North Road",7,1,9,10,0,27,0
Whatuwhiwhi,"Karikari Community Hall, 16 Maitai Bay Road",21,9,21,3,0,54,1
Te Atatū
Henderson,"Henderson High School, 21 Henderson Valley Road",9,1,10,1,0,21,0
,"Henderson North School, 14 Norval Road",14,0,5,0,1,20,0
,"Sturges West Community House, 58 Summerland Drive",27,0,11,2,1,41,0
,"Te Pai Centre, 31-35 Te Pai Place",5,1,24,1,0,31,0
,"Waitākere College, Gate 2, 42 Rathgar Road",16,1,19,5,0,41,0
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",3,1,8,3,0,15,2
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",6,1,8,1,0,16,0
Lincoln North,"Pomaria Primary School, 33A Pomaria Road",17,1,15,4,2,39,2
Rānui,"Birdwood School, 23 Karepo Crescent",12,2,9,3,0,26,0
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",21,2,8,2,0,33,2
,"Rānui Primary School, 16 Ranui Station Road",24,6,18,3,0,51,1
Swanson,"Swanson School, 703 Swanson Road",19,7,16,10,1,53,3
Te Atatū Peninsula,"Congregational Christian Church of Samoa, 472 Te Atatū Road",4,1,9,2,0,16,0
,"Matipo Primary School, 63B Matipo Road",5,4,13,7,0,29,0
,"Peninsula Primary School, 22 Waipani Road",5,1,14,8,1,29,0
,"Te Atatū Intermediate School, 8 Harbour View Road",20,2,31,5,0,58,0
,"Te Atatū Peninsula Community Centre, 595 Te Atatū Road",14,2,34,12,0,62,0
Western Heights,"Western Heights School, 126 Sturges Road",9,0,11,2,0,22,0
Upper Harbour
Glenfield,"Bayview Primary School, 60 Bayview Road",7,2,8,4,1,22,0
,"Girl Guides Glenfield, next to Glenfield War Memorial Hall, 10 Hall Road",10,2,2,3,1,18,0
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",8,3,7,2,0,20,1
,"St Thomas More Catholic Church Hall, 4 St Thomas More Lane",4,2,4,2,0,12,0
Greenhithe,"Greenhithe Community Hall, 7 Greenhithe Road",3,0,7,5,0,15,0
,"Greenhithe School Hall, Sunnyview Road entrance, next to 6 Sunnyview Road",3,2,9,4,0,18,5
,"Upper Harbour Primary School, 140 Kyle Road",1,2,0,2,1,6,0
Hobsonville,"Hobsonville School, 104 Hobsonville Road",4,2,0,3,0,9,0
Hobsonville Point,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",2,4,3,4,0,13,0
,"Sunderland Lounge - Te Rere, 27 Hudson Bay Road",4,1,3,2,1,11,0
Massey,"Lincoln Heights School, 16 Keegan Drive",20,0,16,4,0,40,1
,"Massey High School, 274 Don Buck Road",23,8,21,8,0,60,0
,"Massey Matters, Massey Community Hub, 385 Don Buck Road",23,4,32,9,0,68,1
Tōtara Vale,"Reformed Church of the North Shore, 74 Trias Road",3,0,4,1,0,8,1
West Harbour,"Marina View School, 97 Marina View Drive",1,0,1,5,0,7,0
,"Westgate Baptist Church, 67 Hobsonville Road",7,1,9,8,0,25,1
,"West Harbour Alliance Church, 145 Moire Road",6,0,12,2,1,21,1
,"West Harbour Primary School, Sumich Place entrance, next to 8 Sumich Place",12,2,17,3,0,34,1
Whangaparāoa
Coatesville,"Coatesville Settlers Hall, 4 Mahoenui Valley Road",3,2,0,2,0,7,0
Dairy Flat,"Dairy Flat Community Hall, 4 Postman Road",5,0,3,0,1,9,1
Gulf Harbour,"Marine Village Town Centre, The Vine Community Church, Unit F/158 Harbour Village Drive",4,0,6,0,0,10,1
Manly,"Manly Methodist Church, 945 Whangaparāoa Road",8,3,4,4,1,20,2
Orewa,"Orewa Baptist Church, 1 Centreway Road, access from rear carpark",2,2,4,0,1,9,1
,"Orewa College, Orewa Arts and Events Centre, 76 Riverside Road",3,1,4,1,1,10,1
,"Orewa Community Centre, Main Hall, 40-46 Orewa Square",9,2,8,1,0,20,2
,"Orewa Primary School Hall, 86 Maire Road",1,2,2,2,0,7,0
Pāremoremo,"Ridgeview School, Main Classroom, 1 Cutts Crescent",7,0,2,2,0,11,0
Red Beach,"Red Beach Methodist Church, 76 Red Beach Road",5,0,2,7,0,14,0
,"Red Beach School Hall, 20 Albert Hall Drive",5,0,4,5,1,15,0
Silverdale,"PAK'nSAVE Silverdale, Portacom, 20 Hibiscus Coast Highway",4,5,8,2,1,20,1
,"Silverdale Primary School Hall, 4 Longmore Lane",2,1,1,4,0,8,0
,"Stella Maris Catholic Primary School Hall, 50 Silverdale Street",1,0,4,5,2,12,1
Stanmore Bay,"Stanmore Bay Pool and Leisure Centre, Indoor Courts, 159 Brightside Road",8,6,8,4,0,26,1
,"Whangaparāoa College, Auditorium Foyer, 8 Stanmore Bay Road",3,0,3,0,0,6,1
Whangaparāoa,"The Coast Whangaparāoa, Shop 3.32, outdoor court on Main Street, 719 Whangaparāoa Road",13,1,9,5,1,29,0
Whangārei
Avenues,"Whangārei Bowling Club, 2 Second Avenue",15,5,18,11,0,49,4
Glenbervie,"Glenbervie School Hall, 151 Ngunguru Road",7,3,4,3,1,18,0
Hikurangi,"Hikurangi Hall, 24 King Street",34,13,21,22,1,91,4
Kamo,"Hurupaki School Hall, 20 Dip Road",5,3,11,2,1,22,1
,"Kamo Bowling Club, 15 Three Mile Bush Road",39,13,30,23,0,105,2
,"Kamo Primary School Hall, 6 Three Mile Bush Road",10,3,17,6,0,36,0
Kauri,"Kaurihohore Hall, 24 Apotu Road",5,3,3,0,0,11,4
Kensington,"Northland Table Tennis Centre, ASB Sports Complex, 193 Western Hills Drive",17,7,20,9,1,54,1
,"St. John's Golden Church, Leigh Hall, 149 Kamo Road",18,8,22,8,0,56,1
Kokopu,"Kokopu School Library, 921 Kokopu Road",4,1,0,7,0,12,0
Mangapai,"Mangapai Hall, Mangapai Road (corner McAlister Road)",7,3,1,3,0,14,2
Matapouri,"Matapouri Public Hall, Matapouri Road",5,0,5,3,0,13,0
Maungatapere,"Maungatapere School Hall, Mangakahia Road",8,3,6,2,0,19,1
Maunu,"Maunu Primary School Hall, 13 Austin Road",11,1,10,6,2,30,0
,"Northland Vintage Car Clubrooms, Kiwi North, Gate 2, 500 State Highway 14",3,0,1,5,0,9,1
Ngāraratunua,"Ngāraratunua Marae, Whare Kai, Pipiwai Road (corner Church Road)",5,2,14,12,1,34,0
Ngunguru,"Ngunguru Community Hall, 1879 Ngunguru Road",15,2,17,16,0,50,0
Okara,"Okara Shopping Centre, opposite The Warehouse, 4 Port Road",43,3,38,25,1,110,6
Onerahi,"Onerahi Bowling Club, 35 Alamein Avenue",32,7,30,14,0,83,2
,"Raurimu Avenue School, 48 Raurimu Avenue",14,3,26,4,0,47,3
One Tree Point,"One Tree Point School Hall, 97 One Tree Point Road",15,3,15,9,1,43,2
Ōtaika,"Otaika Valley School, Classroom 3, Valley View Road",15,2,11,7,0,35,1
Otangarei,"Otangarei Rugby Club, 10 Matai Street",30,6,24,5,2,67,2
Parua Bay,"Mt. Manaia Bowling Club, 1341 Whangārei Heads Road",14,3,10,8,1,36,2
Raumanga,"Manaia View School - Te Moemoea, Hall, 64 Murdoch Crescent",50,11,49,8,1,119,4
,"Te Puna o Te Mātauranga - Northland Polytech Marae, Whare kai, Gate 1, 51 Raumanga Valley Road",34,4,39,15,0,92,3
Regent,"Anglican Parish Hall, 2A Kamo Road",24,4,23,17,2,70,3
Riverside,"Northland Rugby Clubroom, 136 Riverside Drive",17,1,9,12,0,39,1
Ruakākā,"Bream Bay College Hall, 2 Peter Snell Road",30,8,35,23,0,96,3
Ruatangata,"Ruatangata Hall, 1190 Pipiwai Road",4,3,5,0,2,14,0
Taurikura,"Taurikura Hall, 2363 Whangārei Heads Road",4,0,1,3,0,8,0
Tikipunga,"Kiripaka Shopping Centre, 165 Kiripaka Road, by roundabout",61,5,57,40,4,167,1
,"Te Kura Kaupapa Māori o Te Rawhitiroa, Whare, 42 Vinegar Hill Road",10,0,18,6,0,34,1
,"Tikipunga High School Hall, 194 Corks Road",21,5,28,6,0,60,0
Waipu,"Waipu Coronation Hall, 47 The Centre",14,4,12,5,2,37,2
Whangārei,"Strand Arcade, Shop beside Food Court, 41 Cameron Street",28,5,30,15,3,81,0
Whareora,"Whareora Hall, 821 Whareora Road",2,0,3,0,1,6,0
Whau Valley,"Whau Valley School Theatre, 17 Moody Avenue",15,4,15,4,1,39,0
Woodhill,"Hora Hora School Hall, 22 Te Mai Road",15,2,11,12,0,40,1

,Overseas Special Votes Including Defence Force - Te Tai Tokerau,126,20,234,81,10,471,17
,Special Votes BEFORE Polling Day - Te Tai Tokerau,1061,269,1624,480,42,3476,125
,Special Votes ON Polling Day - Te Tai Tokerau,807,261,1157,425,39,2689,106
,Voting places where less than 6 votes were taken,42,12,54,21,9,138,11

,Te Tai Tokerau Total,9911,1923,10428,4187,443,26892,880

,Valid Candidate Votes plus Informal Candidate Votes,,27772

Electorate Candidate Valid Votes,Party,,,"KAPA-KINGI, Mariameno - majority 517"
"DAVIS, Kelvin Glen",Labour Party,9911,36.85
"HERBERT, Maki",Aotearoa Legalise Cannabis Party,1923,7.15
"KAPA-KINGI, Mariameno",Te Pāti Māori,10428,38.78
"LYNDON, Hūhana",Green Party,4187,15.57
"TOAUTU, Paturiri",Independent,443,1.65
