Party and Electorate Candidate Votes Recorded at each Voting Place
Bay of Plenty 3,Candidate Vote Details
,,"GILLESPIE, Wendy","GRATTAN, Caitlin","LUXTON, Cameron Gib","MACMILLAN, Matthew","MURFITT, Kirsten Marie","RUTHERFORD, Tom","TAIKATO, Pare","WAHED, Md Zakaria",Total Valid Candidate Votes,Informal Candidate Votes
,"Tauranga Primary School Hall, 31 Fifth Avenue",0,3,9,6,5,29,6,0,58,0
Tauranga South,"Central Baptist Church Hall, (corner Cameron Road & Thirteenth Avenue)",1,0,2,4,11,15,8,2,43,1
Tauriko,"Tauranga Crossing, first floor next to H&M, 2 Taurikura Drive",8,3,31,32,35,167,46,6,328,4
Te Puke,"Te Puke War Memorial Hall, 130 Jellicoe Street",2,2,7,5,3,24,7,0,50,1
Te Puna,"Te Puna Memorial Hall, 3 Te Puna Road",18,1,43,27,49,195,44,1,378,6
,"Te Puna School Hall, 225 Te Puna Road (corner Borell Road)",0,1,7,15,11,76,26,1,137,2
Welcome Bay,"Selwyn Ridge School, 20 Holmburn Street",11,2,38,42,47,113,68,2,323,2
,"Welcome Bay Hall, 244 Welcome Bay Road",21,8,71,77,95,298,138,8,716,15
,"Welcome Bay School, 309 Welcome Bay Road",0,1,23,26,24,104,40,4,222,2

,Overseas Special Votes Including Defence Force - Bay of Plenty,7,10,83,129,46,534,161,1,971,7
,Special Votes BEFORE Polling Day - Bay of Plenty,46,28,352,489,270,1881,715,19,3800,77
,Special Votes ON Polling Day - Bay of Plenty,47,37,305,455,265,1244,546,15,2914,74
,Voting places where less than 6 votes were taken,0,0,0,0,0,2,0,0,2,0

,Bay of Plenty Total,524,375,4202,4036,4025,23303,7898,204,44567,560

,Valid Candidate Votes plus Informal Candidate Votes,,45127

Electorate Candidate Valid Votes,Party,,,"RUTHERFORD, Tom - majority 15405"
"GILLESPIE, Wendy",Leighton Baker Party,524,1.18
"GRATTAN, Caitlin",Animal Justice Party ,375,0.84
"LUXTON, Cameron Gib",ACT New Zealand,4202,9.43
"MACMILLAN, Matthew",Green Party,4036,9.06
"MURFITT, Kirsten Marie",New Zealand First Party,4025,9.03
"RUTHERFORD, Tom",National Party,23303,52.29
"TAIKATO, Pare",Labour Party,7898,17.72
"WAHED, Md Zakaria",Independent,204,0.46
