Party and Electorate Candidate Votes Recorded at each Voting Place
Hamilton East 12,Candidate Vote Details
,,"BAN, Tanya Joan","CARRINGTON, Lily","CORKIN, Alexander James","COUPER, Nathan Lee","DANSEY, Georgie","GIELEN, Jacobus Martin","HAMILTON, Ryan Alexander","KNAAP, Russelle Sonya","PARKER, Kim Awatea","PARMAR, Himanshu",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
,"Kirikiriroa Marae, 951 Wairere Drive",4,4,15,0,57,0,41,1,13,8,143,1
,"Marian Catholic School, 119 Firth Street",1,7,9,0,104,1,121,7,10,16,276,5
,"St John's Methodist Church Centre, 20 Wellington Street",13,6,17,0,193,1,163,28,15,15,451,13
Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",0,2,1,0,32,0,7,0,1,1,44,1
,"The Verandah, Lake Domain Drive",1,1,3,0,7,0,5,2,3,0,22,1
Hillcrest,"Hillcrest Normal School, 218 Cambridge Road",14,5,16,1,221,1,227,6,8,20,519,12
,"Knighton Normal School, 45 Knighton Road",6,4,15,0,178,0,157,16,10,18,404,7
,"St John's College, 85 Hillcrest Road",5,2,17,0,75,0,83,7,4,11,204,0
Pukete,"Pukete School, 110 Pukete Road",0,0,1,0,14,0,21,1,1,2,40,0
Rototuna,"Chapel Hill Community Church, 2 Cate Road",4,5,13,0,174,1,396,10,7,30,640,5
,"Rototuna Primary School, 23 Strathmore Drive",15,4,31,0,249,1,509,26,10,50,895,11
Rototuna North,"Te Totara Primary School, 31 Hector Drive",4,2,13,0,102,0,239,7,4,27,398,2
Silverdale,"Hillcrest High School, 141 Masters Avenue",8,8,17,1,187,0,151,24,7,17,420,4
St Andrews,"All Saints Church Hall, 191 Sandwich Road",0,1,2,0,10,0,12,1,0,1,27,0
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",3,1,8,0,56,0,77,11,5,14,175,0

,Overseas Special Votes Including Defence Force - Hamilton East,13,10,49,0,374,1,409,13,30,46,945,9
,Special Votes BEFORE Polling Day - Hamilton East,50,41,137,7,1243,8,1943,117,230,143,3919,95
,Special Votes ON Polling Day - Hamilton East,77,39,141,4,942,5,1286,105,196,184,2979,63
,Voting places where less than 6 votes were taken,1,0,0,0,0,0,6,0,0,0,7,0

,Hamilton East Total,517,321,1195,27,12890,40,17950,1206,1227,1679,37052,509

,Valid Candidate Votes plus Informal Candidate Votes,,37561

Electorate Candidate Valid Votes,Party,,,"HAMILTON, Ryan Alexander - majority 5060"
"BAN, Tanya Joan",New Zealand Loyal,517,1.40
"CARRINGTON, Lily",Animal Justice Party ,321,0.87
"CORKIN, Alexander James",The Opportunities Party (TOP),1195,3.23
"COUPER, Nathan Lee",New World Order McCann Party ,27,0.07
"DANSEY, Georgie",Labour Party,12890,34.79
"GIELEN, Jacobus Martin",Republic of New Zealand Party,40,0.11
"HAMILTON, Ryan Alexander",National Party,17950,48.45
"KNAAP, Russelle Sonya",New Zealand First Party,1206,3.25
"PARKER, Kim Awatea",Te Pāti Māori,1227,3.31
"PARMAR, Himanshu",ACT New Zealand,1679,4.53
