Party and Electorate Candidate Votes Recorded at each Voting Place
Kaikōura 17,Candidate Vote Details
,,"ARBUCKLE, Jamie Arthur","BROWN, Shaun Keith","CAMPBELL, Sandra","COLELLO, Natalie Maria","DEWHIRST, Emma Marie","GREENSLADE, David John","GRIFFITHS, Keith William","HOWARD, Thomas Edward (Ted)","McCASKEY, John","McCUBBIN, Richard Anthony","SMITH, Stuart Tayler",Total Valid Candidate Votes,Informal Candidate Votes
Greta Valley,"Greta Valley School, 8 Motunau Beach Road",11,0,2,13,10,2,12,0,1,10,104,165,0
Grovetown,"Grovetown School, 56 Vickerman Street",26,0,2,8,48,1,14,1,0,13,111,224,1
Hanmer Springs,"Hanmer Springs Community Library and Hall, Cheltenham Street (corner Amuri Avenue)",15,0,1,8,44,1,26,0,0,31,161,287,2
Hapuku,"Hāpuku School - Te Kura o Hāpuku, 596 Kincaid Road (State Highway 1)",4,0,1,1,10,0,5,0,0,1,36,58,0
Havelock,"Havelock School Hall, 47 Main Road",39,0,3,20,63,0,33,0,0,16,118,292,2
Hawarden,"Hawarden Community Library at Hurunui College, 2 Tenterden Street",11,0,2,15,29,3,21,0,4,38,191,314,3
Kaikōura,"Kaikōura Primary School, 19 Torquay Street",22,1,1,8,50,2,8,4,0,27,126,249,3
,"Kaikōura Suburban School Library, 425 Schoolhouse Road",9,0,3,0,23,0,1,1,0,8,110,155,1
,"Te Whare Putea Heartlands, 105 Beach Road",20,0,4,6,66,3,22,10,0,17,134,282,4
Leithfield,"Leithfield School Hall, 64 Old Main North Road",26,0,15,13,74,8,15,0,6,30,136,323,2
Linkwater,"Linkwater Memorial Hall, 1351 Queen Charlotte Drive",27,0,1,2,45,0,16,0,0,12,113,216,3
Loburn,"Loburn School Te Kura Aromauka, Mt Thomas Room, 73 Hodgsons Road",26,0,41,20,99,1,51,3,0,28,293,562,1
North Loburn,"Tihiraki North Loburn School, Karetu Hall, 817 Loburn Whiterock Road",7,0,13,5,31,2,3,3,1,9,73,147,0
Okaramio,"Okaramio Community Hall, 2356 State Highway 6",28,0,0,4,14,0,10,0,0,2,70,128,0
Omihi,"Omihi School, Kahiwi Room, 990 Omihi Road",2,0,0,0,4,0,1,0,0,1,37,45,0
Oxford,"Oxford Jaycee's Hall, 56 Main Street",0,0,0,1,2,0,1,0,0,0,13,17,0
Papanui,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",1,0,0,0,1,0,0,0,0,0,10,12,1
Picton,"Mariners Mall, Shop 17, 100 High Street",55,2,2,22,104,7,30,1,1,27,138,389,5
,"Picton School Hall, 25 York Street (between Buller Street & Broadway)",27,1,3,0,57,1,4,0,0,9,44,146,1
,"Queen Charlotte College Whare Ako, 173 Waikawa Road",30,0,1,6,85,0,13,2,0,13,126,276,3
Rai Valley,"Rai Valley Area School & Community Library, 6700 Main Road",26,0,1,13,34,0,21,0,1,8,75,179,4
Rangiora,"McAlpine Pipe Band Hall, next to New World Rangiora, 8A Ashley Street",11,0,5,2,21,1,6,1,0,6,63,116,3
,"Rangiora High School, 125 East Belt, Wales Street entrance",2,0,1,0,2,2,1,0,0,2,9,19,0
,"St Johns Anglican Church Hall, (corner Church Street & High Street)",0,0,0,1,2,2,1,0,0,1,7,14,0
Rapaura,"Rapaura Hall, 348 Hammerichs Road",13,0,2,0,24,3,11,0,0,3,86,142,2
Rārangi,"Rarangi Fire Station Community Centre, 252 Rarangi Beach Road",23,0,2,2,44,0,11,0,0,15,64,161,2
