Party and Electorate Candidate Votes Recorded at each Voting Place
New Lynn 28,Candidate Vote Details
,,"ABEL, Stephen George Bremner","ALVAREZ DE LUGO COLMENARES, Juan Jose","GARCIA, Paulo Reyes","MANN, Phineas","OLIVER, Stephen Thomas","RUSSELL, Deborah Faye",Total Valid Candidate Votes,Informal Candidate Votes
,"Konini School Hall, 44 Withers Road",2,2,1,0,0,5,10,0
,"Methodist Centre of the West Church Hall, 302 West Coast Road",9,2,12,0,9,9,41,0
,"Our Lady of Lourdes Catholic Church Hall, 7 Glendale Road",6,2,19,1,3,23,54,0
,"Prospect School Hall, 76 Rosier Road",1,0,3,0,0,4,8,0
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",4,2,31,0,7,16,60,0
Green Bay,"Green Bay Community House, 1 Barron Drive",52,21,170,0,16,170,429,6
,"Green Bay Primary School Hall, 131 Godley Road",75,35,252,2,35,271,670,10
Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",2,1,2,0,0,8,13,0
Henderson,"Henderson Valley Primary School Hall, 389 Henderson Valley Road",60,28,115,4,18,97,322,4
,"Sturges West Community House, 58 Summerland Drive",2,1,14,0,1,5,23,0
,"Te Pai Centre, 31-35 Te Pai Place",2,3,4,0,2,2,13,0
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",6,2,12,0,0,16,36,0
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",1,2,4,1,0,12,20,1
Huapai,"St Patrick's Church, 380 Main Road",2,4,3,0,1,2,12,0
Huia,"Huia Community Hall, 1253 Huia Road",28,10,43,0,11,98,190,1
Kelston,"St Leonards Road School Hall, 15 St Leonards Road",1,0,3,0,0,6,10,0
Kumeū,"Kumeū Community Centre, 35 Access Road",2,1,3,0,2,1,9,0
Laingholm,"Laingholm Primary School Hall, 54 Victory Road",121,31,176,3,37,220,588,2
Lynfield,"Lynfield College, Main Entrance, 191 White Swan Road",3,1,47,0,0,12,63,0
,"Lynfield Community Church, 35 The Avenue",1,0,4,0,0,2,7,0
Mt Albert,"Mt Albert Senior Citizens' Hall, 3B Wairere Avenue",3,1,5,0,0,6,15,0
,"Westfield St Lukes Shopping Centre, Centre Court, Level 1, 80 Saint Lukes Road",4,3,14,0,0,12,33,1
Mt Roskill,"Christ The King School Hall, 288 Richardson Road",1,1,6,0,0,7,15,0
,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",2,0,4,0,1,10,17,0
New Lynn,"Arahoe School Hall, 11 Grandison Crescent, Grandison Crescent entrance",73,24,183,6,20,220,526,15
,"Dayspring Trust Care Centre, 2A Seabrook Avenue",30,14,145,4,11,133,337,6
,"Fruitvale School Hall, 40 Fruitvale Road",48,14,126,4,8,236,436,8
,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",62,26,236,5,17,232,578,22
