Party and Electorate Candidate Votes Recorded at each Voting Place
West Coast-Tasman 61,Candidate Vote Details
,,"FARRELLY, Jacqueline Ann","GREY, Susan Jane","LILLEY, Kelly Helena","MARINKOVICH, Sebastian","O'CONNOR, Damien","OSMASTON, Richard Francis","PHELPS, Patrick","PUGH, Maureen Helena","RICHARDS, Stephen Thomas",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Electorate Candidate Valid Votes,Party,,,"PUGH, Maureen Helena - majority 1017"
"FARRELLY, Jacqueline Ann",New Zealand First Party,1799,4.33
"GREY, Susan Jane",NZ Outdoors & Freedom Party,1554,3.74
"LILLEY, Kelly Helena",ACT New Zealand,2520,6.06
"MARINKOVICH, Sebastian",New Zealand Loyal,1370,3.29
"O'CONNOR, Damien",Labour Party,12300,29.57
"OSMASTON, Richard Francis",Money Free Party NZ,88,0.21
"PHELPS, Patrick",Independent,5903,14.19
"PUGH, Maureen Helena",National Party,13317,32.02
"RICHARDS, Stephen Thomas",Green Party,2743,6.59
