Party and Electorate Candidate Votes Recorded at each Voting Place
Taieri 47,Candidate Vote Details
,,"DONG, Changrong","FRENCH, Matthew","GARDNER, Robert James McKinlay","LEARY, Ingrid","MEFFAN, Burto Bruno","PATTERSON, Mark","ROBERTS, Frederick","WEBBER, David","WILLIS, Scott Matthew",Total Valid Candidate Votes,Informal Candidate Votes
,Voting places where less than 6 votes were taken,0,8,0,1,1,1,0,0,0,11,1

,Taieri Total,142,15136,286,16579,1697,3069,663,120,3898,41590,498

,Valid Candidate Votes plus Informal Candidate Votes,,42088

Electorate Candidate Valid Votes,Party,,,"LEARY, Ingrid - majority 1443"
"DONG, Changrong",Independent,142,0.34
"FRENCH, Matthew",National Party,15136,36.39
"GARDNER, Robert James McKinlay",Independent,286,0.69
"LEARY, Ingrid",Labour Party,16579,39.86
"MEFFAN, Burto Bruno",ACT New Zealand,1697,4.08
"PATTERSON, Mark",New Zealand First Party,3069,7.38
"ROBERTS, Frederick",New Zealand Loyal,663,1.59
"WEBBER, David",Independent,120,0.29
"WILLIS, Scott Matthew",Green Party,3898,9.37
