Party and Electorate Candidate Votes Recorded at each Voting Place
Taupō 51,Candidate Vote Details
,,"AL-BUSTANJI, Ala' Mahmoud Salameh","COZENS, Zane","O'CONNOR PATENA, George","PEHI, Natalie Lynette","UPSTON, Louise","WILSON, Gordon Ross",Total Valid Candidate Votes,Informal Candidate Votes
Waotu,"Te Waotu Full Primary School, 1274 Waotu Road",7,1,2,4,54,8,76,0
Whakamaru,"Whakamaru School, 36 Kaahu Road",18,17,9,6,76,3,129,2

,Overseas Special Votes Including Defence Force - Taupō,114,44,134,22,511,12,837,3
,Special Votes BEFORE Polling Day - Taupō,623,209,338,129,1586,113,2998,56
,Special Votes ON Polling Day - Taupō,572,235,291,159,1372,163,2792,61
,Voting places where less than 6 votes were taken,4,0,3,0,7,2,16,0

,Taupō Total,8353,2808,3441,2114,24858,1410,42984,520

,Valid Candidate Votes plus Informal Candidate Votes,,43504

Electorate Candidate Valid Votes,Party,,,"UPSTON, Louise - majority 16505"
"AL-BUSTANJI, Ala' Mahmoud Salameh",Labour Party,8353,19.43
"COZENS, Zane",ACT New Zealand,2808,6.53
"O'CONNOR PATENA, George",Green Party,3441,8.01
"PEHI, Natalie Lynette",New Zealand First Party,2114,4.92
"UPSTON, Louise",National Party,24858,57.83
"WILSON, Gordon Ross",New Zealand Loyal,1410,3.28
