Party and Electorate Candidate Votes Recorded at each Voting Place
Rangitīkei 41,Candidate Vote Details
,,"BUTT, Zulfiqar","HOGGARD, Andrew John","LONG, Bernard John","REDMAYNE, Susan (Suze) Emma Dossor","VERMEULEN, Wilhelmina Jannetje",Total Valid Candidate Votes,Informal Candidate Votes
Kiwitea,"Kiwitea Hall, (corner Kimbolton Road & Perry Line)",10,34,9,74,11,138,2
Levin,"Horowhenua District Council, 126 Oxford Street",5,3,3,4,1,16,0
Linton,"Linton Camp School, Puttick Road",24,32,20,54,16,146,1
Longburn,"Longburn Community Hall, Ngaire Street",46,41,17,95,16,215,1
Mangaweka,"Mangaweka School, 4 Raumaewa Road",16,21,7,61,9,114,1
Marton,"James Cook School, 53 Mill Street",74,28,15,91,25,233,5
,"Marton Junction School, 44 Alexandra Street",30,17,20,51,18,136,1
,"Marton RSA & Citizens Memorial Hall, 397 Wellington Road",70,28,15,112,23,248,7
,"South Makirikiri School, 945 Makirikiri Road",7,23,1,64,5,100,0
,"St Andrew's Presbyterian Church Hall, 226 Broadway",108,58,24,207,50,447,13
Mataroa,"Mataroa School, 5696 Rongoiti Road",5,18,2,38,0,63,0
Moawhango,"Moawhango School, 5337 Moawhango Valley Road",2,5,1,18,4,30,1
National Park,"National Park School Hall, 31 Carroll Street",24,16,19,56,15,130,4
Newbury,"Newbury School, 906 Rangitikei Line",40,39,10,137,23,249,2
Ohakune,"Ohakune Council Chambers, 37 Ayr Street",39,27,30,97,20,213,4
,"Te Pae Tata Community Hub, 43A Ruapehu Road",11,7,3,19,3,43,0
Ōhingaiti,"Ōhingaiti Hall, (corner State Highway 1 & Onslow Street)",9,12,4,38,5,68,0
Opiki,"Opiki Public Hall, 926 Opiki Road (State Highway 56)",23,39,9,65,9,145,4
Oroua Downs,"Oroua Downs School, 1041 State Highway 1",10,25,0,48,14,97,2
Ōwhango,"Ōwhango School, Resource Room, 9 Ohorere Street",13,17,9,106,17,162,0
Palmerston North Central,"Palmerston North Bridge Club, 3 Cook Street (corner Cook Street & Cuba Street)",8,5,4,26,0,43,1
,"Te Manawa Museum, 326 Main Street",20,13,12,42,5,92,1
,"The Salvation Army Hall, 431 Church Street",10,11,4,20,6,51,1
Pohangina,"Pohangina Public Hall, 1273 Pohangina Road",50,26,17,61,12,166,4
Raetihi,"Raetihi Primary School, 24 Grey Street",46,24,16,83,30,199,3
Rangiwahia,"Rangiwahia Hall, 2527 Rangiwahia Road",6,14,3,41,4,68,0
Rongotea,"Te Kawau Memorial Centre, Wye Street",84,90,28,220,30,452,5
Sanson,"Sanson Community Hall, 26 Fagan Street",73,45,12,128,31,289,2
Shannon,"Shannon Memorial Hall, 8 Grey Street",124,31,36,115,44,350,5
Summerhill,"Summerhill Shopping Centre, Hilltop, 194 Ruapehu Drive",167,70,51,271,22,581,6
Taihape,"Majestic Theatre, 5C Tui Street",26,19,11,54,20,130,5
,"St David's Church, 19 Huia Street",40,21,8,75,17,161,3
Tangimoana,"Tangimoana School, 19 Punga Street",32,18,11,55,14,130,4
Taonui,"Taonui School, 170 Waughs Road",14,27,3,60,8,112,2
Taoroa,"Taoroa School, 43 Pukeokahu Road",1,7,2,20,4,34,0
Taringamotu,"Ngakonui Valley School, 826 Taringamotu Road",3,9,1,38,5,56,0
Taumarunui,"Manunui School, 140 Totara Street",61,19,14,92,36,222,5
,"Ruapehu Community Arts Centre, 40 Hakiaha Street",63,24,19,107,27,240,6
,"Tarrangower School, 25 Manson Street",53,12,8,71,11,155,1
,"Taumarunui Primary School Hall, 2 Maata Street",53,16,15,77,24,185,1
,"Te Kura Kaupapa Māori o Taumarunui, 35 Makere Street",24,3,1,12,7,47,1
Tokomaru,"Tokomaru Hall, 761 Makerua Road (State Highway 57)",92,35,21,121,20,289,4
Turakina,"Turakina School, State Highway 3",31,21,6,120,10,188,1
Turitea,"Turitea School, 208 Old West Road",33,43,15,62,5,158,0
Tutaenui,"Tutaenui Public Hall, (corner Griffins Road & Jeffersons Line)",10,19,3,73,6,111,3
Waiouru,"Waiouru Primary School, Ruapehu Road",20,19,11,34,15,99,1
Waituna West,"Waituna West School, 50 Waituna Tapuae Road",8,24,6,50,5,93,0
West End,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street",24,18,5,37,6,90,1
Whakarongo,"Whakarongo Community Hall, 17 Stoney Creek Road",45,53,14,179,13,304,1
Whangaehu,"Whangaehu Community Hall, 19 Whangaehu Village Road",2,14,3,36,4,59,0
Whanganui,"St Mary's Church Hall, (corner Guyton Street & Wicksteed Street)",1,1,1,14,3,20,0

,Overseas Special Votes Including Defence Force - Rangitīkei,117,83,93,276,31,600,1
,Special Votes BEFORE Polling Day - Rangitīkei,589,347,301,1022,187,2446,48
,Special Votes ON Polling Day - Rangitīkei,644,421,333,1181,264,2843,72
,Voting places where less than 6 votes were taken,7,1,1,1,0,10,0

,Rangitīkei Total,9160,5914,3153,18945,3167,40339,550

,Valid Candidate Votes plus Informal Candidate Votes,,40889

Electorate Candidate Valid Votes,Party,,,"REDMAYNE, Susan (Suze) Emma Dossor - majority 9785"
"BUTT, Zulfiqar",Labour Party,9160,22.71
"HOGGARD, Andrew John",ACT New Zealand,5914,14.66
"LONG, Bernard John",Green Party,3153,7.82
"REDMAYNE, Susan (Suze) Emma Dossor",National Party,18945,46.96
"VERMEULEN, Wilhelmina Jannetje",New Zealand First Party,3167,7.85
