Party and Electorate Candidate Votes Recorded at each Voting Place
Rangitata 40,Candidate Vote Details
,,"BALLANTYNE, Robert Andrew","CLARKSON, Michael David","GILCHRIST, Barbara","LUXTON, Jo-Anne Marie","MEAGER, James Rawiri","SHEARER, Wayne","THOMAS, Karl Raymond","Van AMERSFOORT, Adolf Pieter",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Timaru,"Aorangi Park, Netball South Canterbury Lounge, 70 Morgans Road",17,4,25,166,287,14,5,1,519,8
,"Ara Institute of Canterbury, Starz Restaurant, 32 Arthur Street",15,2,15,85,70,16,2,0,205,4
,"Bluestone School, 46 Raymond Street",13,3,13,111,107,4,1,0,252,1
,"Church Street Bible Chapel, 213 Church Street (corner Avenue Road)",10,1,8,79,117,12,1,0,228,3
,"Craighead Diocesan School Gymnasium, 1 Wrights Avenue",24,2,23,146,218,9,0,3,425,2
,"Gleniti School, 22 Heath Street",14,0,15,83,219,1,7,0,339,2
,"Grantlea Downs School, 65 Grants Road",16,2,8,90,102,5,1,0,224,2
,"Oceanview Heights School, 241 Selwyn Street",15,3,14,111,102,3,3,0,251,7
,"South School, 44 Queen Street",28,5,21,172,162,15,0,0,403,4
,"St Stephen's Church Hall, 349 Wai-iti Road",10,0,14,94,196,8,0,1,323,3
,"Timaru Girls High School, 68 Cain Street",16,1,26,102,101,7,6,1,260,1
,"Timaru Indoor Bowls Stadium, opposite Northtown Mall, 20 Ranui Avenue",28,5,29,172,161,16,7,2,420,6
,"Timaru Library, 56 Sophia Street",31,7,44,152,234,15,7,0,490,5
,"Waimataitai School Hall, 25 Trafalgar Street",9,0,16,88,107,7,2,1,230,5
Wakanui,"Wakanui Early Settlers Memorial Hall, 6 Wakanui School Road (corner Beach Road East)",6,0,0,19,81,1,2,0,109,2
Washdyke,"209 Hilton Meeting Room, by Robert Harris Cafe, 209 Hilton Highway",14,1,9,69,160,10,3,0,266,0
Willowby,"Willowby Hall, 471 Longbeach Road",9,0,2,18,119,1,0,1,150,2
Winchester,"Winchester Rural School, 14 Rise Road",6,1,4,24,91,4,3,0,133,1
Winchmore,"Winchmore Hall, 935 State Highway 77",6,0,0,4,73,0,0,0,83,1

,Overseas Special Votes Including Defence Force - Rangitata,16,3,55,130,293,3,1,0,501,4
,Special Votes BEFORE Polling Day - Rangitata,166,9,168,652,1205,47,18,3,2268,68
,Special Votes ON Polling Day - Rangitata,154,13,175,586,1132,99,22,9,2190,39
,Voting places where less than 6 votes were taken,0,0,1,0,12,0,0,0,13,0

,Rangitata Total,2159,170,1784,11946,22792,755,310,92,40008,419

,Valid Candidate Votes plus Informal Candidate Votes,,40427

Electorate Candidate Valid Votes,Party,,,"MEAGER, James Rawiri - majority 10846"
"BALLANTYNE, Robert Andrew",New Zealand First Party,2159,5.40
"CLARKSON, Michael David",Rock the Vote NZ,170,0.42
"GILCHRIST, Barbara",Green Party,1784,4.46
"LUXTON, Jo-Anne Marie",Labour Party,11946,29.86
"MEAGER, James Rawiri",National Party,22792,56.97
"SHEARER, Wayne",New Zealand Loyal,755,1.89
"THOMAS, Karl Raymond",New Conservatives,310,0.77
"Van AMERSFOORT, Adolf Pieter",New Nation Party,92,0.23
