Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Candidate Vote Details
,,"HIPANGO, Harete Makere","NGAREWA-PACKER, Debbie Anne","PEKE, Soraya Waiata","WINIATA, Paris James",Total Valid Candidate Votes,Informal Candidate Votes
,"Westmere School, (corner Francis Road & Rapanui Road)",2,1,2,1,6,1
Whanganui,"Carlton School, 99A Carlton Avenue",4,25,15,1,45,0
,"Cullinane College, 15 Peat Street",0,24,6,1,31,0
,"Keith Street School, 38-46 Keith Street",1,20,8,0,29,2
,"Rangahaua Marae Wharekai, Tupoho Complex, 97 Bell Street",0,35,5,0,40,0
,"St Andrew's Presbyterian Church, 42 Glasgow Street",5,18,10,2,35,3
,"St Mary's Church Hall, (corner Guyton Street & Wicksteed Street)",1,21,14,0,36,1
,"Whanganui City College, 84 Ingestre Street",0,12,7,1,20,1
Whanganui East,"Hakeke Street Community Centre, 65 Hakeke Street",1,16,24,1,42,2
,"St Anne's Catholic School, 45 Raine Street",4,8,7,0,19,0
,"Whanganui East School, Patapu Street",1,25,19,2,47,0
,"Whanganui Girls' College, 21 Jones Street",2,22,17,2,43,0

,Overseas Special Votes Including Defence Force - Te Tai Hauāuru,25,299,56,18,398,1
,Special Votes BEFORE Polling Day - Te Tai Hauāuru,129,2023,774,55,2981,92
,Special Votes ON Polling Day - Te Tai Hauāuru,155,1772,736,75,2738,100
,Voting places where less than 6 votes were taken,43,132,55,11,241,5

,Te Tai Hauāuru Total,1416,16288,7126,704,25534,603

,Valid Candidate Votes plus Informal Candidate Votes,,26137

Electorate Candidate Valid Votes,Party,,,"NGAREWA-PACKER, Debbie Anne - majority 9162"
"HIPANGO, Harete Makere",National Party,1416,5.55
"NGAREWA-PACKER, Debbie Anne",Te Pāti Māori,16288,63.79
"PEKE, Soraya Waiata",Labour Party,7126,27.91
"WINIATA, Paris James",Vision New Zealand,704,2.76
