Party and Electorate Candidate Votes Recorded at each Voting Place
Hamilton West 13,Candidate Vote Details
,,"DOYLE, Benjamin Cody","DU PLOOY, Rudolph Arnoldus","POCOCK, Naomi Jane","POTAKA, Tama William","STEVENSON, Susan Frances","STONE, Kevin","WILLIAMSON, Myra Elsie Jane Bell","WILSON, Melanie",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Rotokauri,"Rotokauri School, 462 Rotokauri Road",13,0,1,77,9,9,19,2,130,1
Rototuna North,"Te Totara Primary School, 31 Hector Drive",5,0,3,9,2,0,1,0,20,0
Rukuhia,"Rukuhia School Community Hall, 58 Rukuhia Road",2,1,0,11,1,1,9,0,25,0
St Andrews,"All Saints Church Hall, 191 Sandwich Road",47,7,12,286,30,16,154,7,559,3
,"Hamilton Junior High School, 90 Heath Street",15,1,4,65,10,9,82,2,188,3
,"Scots Presbyterian Church, 32 Vardon Road",26,4,13,164,15,12,122,2,358,3
Templeview,"Kai Hall, 485 Tuhikaramea Road",11,0,8,78,6,7,51,1,162,2
Te Rapa,"Te Awa, The Base, Centre Court, Maahanga Drive",32,1,16,147,19,15,74,1,305,1
Whitiora,"Whitiora School, 38 Willoughby Street",13,1,3,51,8,13,68,0,157,9

,Overseas Special Votes Including Defence Force - Hamilton West,107,6,31,363,46,30,159,6,748,6
,Special Votes BEFORE Polling Day - Hamilton West,415,42,101,1666,218,132,943,32,3549,110
,Special Votes ON Polling Day - Hamilton West,353,23,105,1266,172,139,845,25,2928,101
,Voting places where less than 6 votes were taken,0,0,0,1,0,1,3,0,5,1

,Hamilton West Total,3230,323,1048,17595,2216,1737,11107,326,37582,634

,Valid Candidate Votes plus Informal Candidate Votes,,38216

Electorate Candidate Valid Votes,Party,,,"POTAKA, Tama William - majority 6488"
"DOYLE, Benjamin Cody",Green Party,3230,8.59
"DU PLOOY, Rudolph Arnoldus",Vision New Zealand,323,0.86
"POCOCK, Naomi Jane",The Opportunities Party (TOP),1048,2.79
"POTAKA, Tama William",National Party,17595,46.82
"STEVENSON, Susan Frances",ACT New Zealand,2216,5.90
"STONE, Kevin",New Zealand First Party,1737,4.62
"WILLIAMSON, Myra Elsie Jane Bell",Labour Party,11107,29.55
"WILSON, Melanie",Animal Justice Party ,326,0.87
