Party and Electorate Candidate Votes Recorded at each Voting Place
Whanganui 62,Candidate Vote Details
,,"ARNOLD, William James","BATES, Carl Michael","DREDGE, Craig","KYLE, Sandra","LEWIS CARR, Stephanie Ann","SANSON, Marion",Total Valid Candidate Votes,Informal Candidate Votes
Whanganui,"Carlton School, 99A Carlton Avenue",30,128,8,2,155,24,347,3
,"Cullinane College, 15 Peat Street",21,96,10,3,92,15,237,2
,"Keith Street School, 38-46 Keith Street",24,85,8,5,159,20,301,2
,"Rangahaua Marae Wharekai, Tupoho Complex, 97 Bell Street",7,19,1,0,26,1,54,0
,"St Andrew's Presbyterian Church, 42 Glasgow Street",39,135,7,2,118,18,319,2
,"St Mary's Church Hall, (corner Guyton Street & Wicksteed Street)",24,129,10,5,120,21,309,6
,"Whanganui City College, 84 Ingestre Street",18,140,4,3,99,15,279,1
Whanganui East,"Hakeke Street Community Centre, 65 Hakeke Street",17,36,6,2,73,7,141,4
,"St Anne's Catholic School, 45 Raine Street",11,138,11,0,101,17,278,4
,"Whanganui East School, Patapu Street",33,116,14,3,161,22,349,5
,"Whanganui Girls' College, 21 Jones Street",47,187,7,2,177,36,456,3
Whenuakura,"Whenuakura School, 52 Kaharoa Road",3,37,2,1,0,1,44,2

,Overseas Special Votes Including Defence Force - Whanganui,32,238,17,3,157,58,505,1
,Special Votes BEFORE Polling Day - Whanganui,193,864,121,27,762,212,2179,57
,Special Votes ON Polling Day - Whanganui,220,917,134,49,680,222,2222,55
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,0

,Whanganui Total,3139,18484,1683,402,12972,2049,38729,511

,Valid Candidate Votes plus Informal Candidate Votes,,39240

Electorate Candidate Valid Votes,Party,,,"BATES, Carl Michael - majority 5512"
"ARNOLD, William James",New Zealand First Party,3139,8.11
"BATES, Carl Michael",National Party,18484,47.73
"DREDGE, Craig",ACT New Zealand,1683,4.35
"KYLE, Sandra",Animal Justice Party ,402,1.04
"LEWIS CARR, Stephanie Ann",Labour Party,12972,33.49
"SANSON, Marion",Green Party,2049,5.29
