Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Roskill 25,Candidate Vote Details
,,"CHEUNG, Chun Ho Carlos","CHOPRA, Rahul","SANIS WALGAMPOLA, Suveen","WOOD, Michael Philip",Total Valid Candidate Votes,Informal Candidate Votes
Mt Roskill,"Central Auckland Specialist School, formerly Sunnydene, 48 Smallfield Avenue",28,4,9,63,104,4
,"Christ The King School Hall, 288 Richardson Road",196,35,47,261,539,9
,"Dominion Road School, 14 Quest Terrace",99,9,28,161,297,3
,"Hay Park School, 670 Richardson Road",220,30,36,348,634,8
,"May Road School, 504 Richardson Road",181,40,40,249,510,22
,"Mount Roskill Primary School, 37 Frost Road",152,25,27,157,361,9
,"Mt Roskill War Memorial Hall, Anzac Room, 13 May Road",220,50,63,384,717,17
,"St Therese Catholic Church, 463 Mount Albert Road",81,16,14,103,214,8
,"Tri-Star Gymnastic Club Incorporated, 55 Arundel Street",160,15,21,114,310,6
,"Wesley Intermediate School, 778 Sandringham Road Extension",67,20,33,263,383,13
,"Wesley Primary School, 24 Potter Avenue",26,5,9,107,147,8
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",8,1,3,6,18,1
New Lynn,"LynnMall Shopping Centre, inside Memorial Drive entrance, 3058 Great North Road",22,3,8,24,57,3
,"Suburbs Rugby Football Club, 130 Portage Road",5,1,0,12,18,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",33,3,0,11,47,1
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",8,0,1,5,14,0
New Windsor,"New Windsor School, 185 New Windsor Road, 65 Peter Buck Road entrance",168,28,41,143,380,5
Onehunga,"Onehunga Community Centre, 83 Church Street",11,6,4,13,34,0
Ōwairaka,"Ōwairaka District School Hall, 113 Richardson Road",9,4,6,35,54,0
Royal Oak,"Royal Oak Intermediate School Hall, 74 Symonds Street, Trafalgar Street entrance",12,3,2,15,32,0
,"Royal Oak Primary School Hall, Chandler Avenue, 663 Manukau Road entrance",16,1,0,3,20,0
Sandringham,"Edendale Primary School Hall, 419A Sandringham Road",33,6,27,59,125,2
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",190,23,52,193,458,6
,"Three Kings School, 944 Mount Eden Road",163,19,29,120,331,6

,Overseas Special Votes Including Defence Force - Mt Roskill,492,79,213,384,1168,10
,Special Votes BEFORE Polling Day - Mt Roskill,1771,252,589,1594,4206,161
,Special Votes ON Polling Day - Mt Roskill,1209,202,432,1225,3068,99
,Voting places where less than 6 votes were taken,0,0,0,0,0,0

,Mt Roskill Total,15659,2179,3379,14095,35312,856

,Valid Candidate Votes plus Informal Candidate Votes,,36168

Electorate Candidate Valid Votes,Party,,,"CHEUNG, Chun Ho Carlos - majority 1564"
"CHEUNG, Chun Ho Carlos",National Party,15659,44.34
"CHOPRA, Rahul",ACT New Zealand,2179,6.17
"SANIS WALGAMPOLA, Suveen",Green Party,3379,9.57
"WOOD, Michael Philip",Labour Party,14095,39.92
