Party and Electorate Candidate Votes Recorded at each Voting Place
Christchurch Central 5,Candidate Vote Details
,,"ARNEIL, Mark Russell","BRITNELL, Michael Allan","CARTER, Kahurangi","FISKEN, Matthew Hunter","JACKSON, Sarah","STEPHENS, Dale Aotea","WEBB, Duncan",Total Valid Candidate Votes,Informal Candidate Votes
St Martins,"Hillview Christian Junior School, 150 Wilsons Road",10,2,18,4,0,25,34,93,2
,"St Martins School Hall, opposite Roscoe Street, 24 Albert Terrace",0,0,2,0,0,1,11,14,0
Sydenham,"Learning Needs Library, 109 Huxley Street",13,4,57,8,5,67,140,294,4
Waltham,"Canterbury Mineral and Lapidary Club, 110 Waltham Road",11,7,25,4,1,37,80,165,2
,"Opawa Baptist Church Hall, 285 Wilsons Road",12,3,21,4,2,39,73,154,3
Woolston,"Ara Woolston Campus, Student Services Building, (corner Ensors Road & Sullivan Avenue)",1,1,6,5,0,9,17,39,0
,"St John's Church Hall, 2 St Johns Street (corner Ferry Road)",3,1,4,2,0,3,6,19,0
,"Te Waka Unua School Hall, 476 Ferry Road (corner Ferry Road & Hopkins Street)",0,0,1,0,0,0,7,8,0

,Overseas Special Votes Including Defence Force - Christchurch Central,18,5,253,31,3,419,449,1178,3
,Special Votes BEFORE Polling Day - Christchurch Central,155,109,864,184,46,1498,1449,4305,110
,Special Votes ON Polling Day - Christchurch Central,170,127,691,177,44,1180,1248,3637,76
,Voting places where less than 6 votes were taken,1,0,1,0,0,2,3,7,0

,Christchurch Central Total,1563,680,5441,1395,376,13712,15553,38720,472

,Valid Candidate Votes plus Informal Candidate Votes,,39192

Electorate Candidate Valid Votes,Party,,,"WEBB, Duncan - majority 1841"
"ARNEIL, Mark Russell",New Zealand First Party,1563,4.04
"BRITNELL, Michael Allan",Aotearoa Legalise Cannabis Party,680,1.76
"CARTER, Kahurangi",Green Party,5441,14.05
"FISKEN, Matthew Hunter",ACT New Zealand,1395,3.60
"JACKSON, Sarah",Animal Justice Party ,376,0.97
"STEPHENS, Dale Aotea",National Party,13712,35.41
"WEBB, Duncan",Labour Party,15553,40.17
