Party and Electorate Candidate Votes Recorded at each Voting Place
Tukituki 54,Candidate Vote Details
,,"DOUGLAS, Robert George","HULMAN, Rob","LORCK, Anna","MANNING, Romana (Marnz)","NGAHUKA, Michael Dane Joseph","PETROWSKI, Melanie Lorraine","PONK, Michael","RATCLIFFE, Nicholas","TOSH, Allister David","WEDD, Catherine",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
,"Pettigrew Green Arena, 480 Gloucester Street",4,2,20,1,1,0,0,9,0,40,77,1
,"Taradale Anglican Church, 23 Puketapu Road",0,0,5,0,0,0,0,3,0,15,23,0
,"Taradale Town Hall, 8 Meeanee Road",5,2,6,2,0,1,0,1,0,31,48,1
Te Awanga,"Te Awanga Community Centre, 9 Wellwood Terrace",11,16,75,4,0,1,0,31,0,140,278,5
Tikokino,"Tikokino School, 43 Owen Street",18,10,43,4,1,3,0,8,1,114,202,1
Twyford,"Twyford & Raupare Memorial Hall, next to Twyford School, 160 Thompson Road",13,1,28,2,2,0,0,9,0,155,210,2
Waimārama,"Waimarama School, 27 Taupunga Road",5,6,32,6,1,1,0,10,0,64,125,2
Waipawa,"Central Hawkes Bay District Council, Council Chambers, 28-32 Ruataniwha Street",4,5,17,1,0,0,0,4,0,39,70,0
,"Waipawa School, Technology Block, 6 Harker Street",0,3,6,1,0,0,0,0,0,23,33,0
Waipukurau,"Central Hawkes Bay College Library, 45 Tavistock Road",1,0,4,2,0,0,0,1,0,10,18,0
,"The Terrace School Staffroom, 164 Porangahau Road",0,1,1,0,0,0,0,2,0,7,11,0
,"Waipukurau School Hall, St Marys Road",3,6,18,0,1,0,1,5,0,53,87,1
Waiwhare,"Waiwhare Community Centre, 27 River Road",6,1,3,0,0,1,0,0,0,54,65,1

,Overseas Special Votes Including Defence Force - Tukituki,51,17,214,6,5,4,2,94,1,503,897,7
,Special Votes BEFORE Polling Day - Tukituki,116,57,809,50,16,6,2,185,3,1235,2479,55
,Special Votes ON Polling Day - Tukituki,152,103,765,80,31,11,9,220,9,1157,2537,71
,Voting places where less than 6 votes were taken,0,0,1,0,0,0,0,0,0,0,1,0

,Tukituki Total,2016,1030,11863,631,379,181,45,2383,66,21981,40575,507

,Valid Candidate Votes plus Informal Candidate Votes,,41082

Electorate Candidate Valid Votes,Party,,,"WEDD, Catherine - majority 10118"
"DOUGLAS, Robert George",ACT New Zealand,2016,4.97
"HULMAN, Rob",New Zealand Loyal,1030,2.54
"LORCK, Anna",Labour Party,11863,29.24
"MANNING, Romana (Marnz)",Aotearoa Legalise Cannabis Party,631,1.56
"NGAHUKA, Michael Dane Joseph",Vision New Zealand,379,0.93
"PETROWSKI, Melanie Lorraine",Independent,181,0.45
"PONK, Michael",Independent,45,0.11
"RATCLIFFE, Nicholas",Green Party,2383,5.87
"TOSH, Allister David",Future Youth Party,66,0.16
"WEDD, Catherine",National Party,21981,54.17
