Party and Electorate Candidate Votes Recorded at each Voting Place
Maungakiekie 23,Candidate Vote Details
,,"BRIDGE, Phillip Stewart William","CHUAH, Eric Boon Leong","FLEMING, Gregory Wray","HOGG, Andrew","ONISHCHENKO, Margarita","RADHAKRISHNAN, Priyanca","SAMANT, Dr. Sapna",Total Valid Candidate Votes,Informal Candidate Votes
Royal Oak,"Royal Oak Intermediate School Hall, 74 Symonds Street, Trafalgar Street entrance",8,5,319,25,24,295,44,720,4
,"Royal Oak Primary School Hall, Chandler Avenue, 663 Manukau Road entrance",8,4,407,20,21,252,47,759,4
Stonefields,"Stonefields School, 81 Tihi Street",1,0,11,0,1,7,1,21,0
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mount Albert Road",0,0,50,4,6,43,6,109,1
,"Three Kings School, 944 Mount Eden Road",1,0,82,6,6,42,14,151,1

,Overseas Special Votes Including Defence Force - Maungakiekie,8,1,617,21,52,504,206,1409,9
,Special Votes BEFORE Polling Day - Maungakiekie,40,19,2181,120,221,1433,609,4623,107
,Special Votes ON Polling Day - Maungakiekie,44,18,1396,116,141,1267,512,3494,74
,Voting places where less than 6 votes were taken,0,0,2,0,0,10,2,14,0

,Maungakiekie Total,249,136,16952,920,1291,12335,3138,35021,514

,Valid Candidate Votes plus Informal Candidate Votes,,35535

Electorate Candidate Valid Votes,Party,,,"FLEMING, Gregory Wray - majority 4617"
"BRIDGE, Phillip Stewart William",Independent,249,0.71
"CHUAH, Eric Boon Leong",Rock the Vote NZ,136,0.39
"FLEMING, Gregory Wray",National Party,16952,48.41
"HOGG, Andrew",New Zealand First Party,920,2.63
"ONISHCHENKO, Margarita",ACT New Zealand,1291,3.69
"RADHAKRISHNAN, Priyanca",Labour Party,12335,35.22
"SAMANT, Dr. Sapna",Green Party,3138,8.96
