Party and Electorate Candidate Votes Recorded at each Voting Place
Waimakariri 57,Candidate Vote Details
,,"BAKER, Leighton","CAMPBELL, Ross Eric","DOOCEY, Matthew Maurice","MALCOLM, Gordon","ROSEWARNE, Daniel Peter",Total Valid Candidate Votes,Informal Candidate Votes
Riccarton,"Westfield Riccarton, Level 2, 129 Riccarton Road",2,0,15,0,8,25,0
Shirley,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",3,0,11,1,8,23,0
Swannanoa,"Swannanoa School, 1305 Tram Road",31,30,442,13,150,666,5
Tuahiwi,"Tuahiwi School, 206 Tuahiwi Road",8,1,80,3,53,145,1
View Hill,"View Hill School, 496 Island Road",3,4,40,2,8,57,2
Waikuku Beach,"Waikuku Beach Hall, (corner Park Terrace & Domain Road)",24,11,162,14,125,336,6
West Eyreton,"West Eyreton School Hall, 1650 North Eyre Road",15,24,212,18,58,327,3
Woodend,"Woodend Community Centre, 6A School Road",58,33,530,35,268,924,11

,Overseas Special Votes Including Defence Force - Waimakariri,40,45,375,7,217,684,4
,Special Votes BEFORE Polling Day - Waimakariri,161,210,1734,125,941,3171,70
,Special Votes ON Polling Day - Waimakariri,119,204,1487,117,816,2743,57
,Voting places where less than 6 votes were taken,1,0,6,1,3,11,0

,Waimakariri Total,1815,2066,26816,1530,13806,46033,474

,Valid Candidate Votes plus Informal Candidate Votes,,46507

Electorate Candidate Valid Votes,Party,,,"DOOCEY, Matthew Maurice - majority 13010"
"BAKER, Leighton",Leighton Baker Party,1815,3.94
"CAMPBELL, Ross Eric",ACT New Zealand,2066,4.49
"DOOCEY, Matthew Maurice",National Party,26816,58.25
"MALCOLM, Gordon",DemocracyNZ,1530,3.32
"ROSEWARNE, Daniel Peter",Labour Party,13806,29.99
