Party and Electorate Candidate Votes Recorded at each Voting Place
Whangārei 64,Candidate Vote Details
,,"ANDREWS, Janita","BAZELEY, Rick","BENNEY, Gavin John","BRETHERTON, Susan Jane","BURGESS, Diana","CLARK, Angela Maree","de JONGE, Jennifer","GREEN, Fiona Elizabeth Mary","KAPA-KINGI, Eru","RETI, Shane Raymond",Total Valid Candidate Votes,Informal Candidate Votes
Riverside,"Northland Rugby Clubroom, 136 Riverside Drive",11,22,58,6,2,74,6,0,8,144,331,3
Ruakākā,"Bream Bay College Hall, 2 Peter Snell Road",17,28,86,20,23,139,10,4,7,259,593,2
Ruatangata,"Ruatangata Hall, 1190 Pipiwai Road",14,9,46,15,5,36,4,0,1,125,255,3
Taurikura,"Taurikura Hall, 2363 Whangārei Heads Road",4,13,22,1,2,51,5,0,6,106,210,0
Tikipunga,"Kiripaka Shopping Centre, 165 Kiripaka Road, by roundabout",16,36,107,10,10,142,20,2,32,211,586,3
,"Te Kura Kaupapa Māori o Te Rawhitiroa, Whare, 42 Vinegar Hill Road",3,1,6,2,0,5,1,0,5,24,47,0
,"Tikipunga High School Hall, 194 Corks Road",5,12,34,10,5,78,5,3,8,109,269,1
Waipu,"Waipu Coronation Hall, 47 The Centre",48,37,68,19,17,107,11,0,11,325,643,2
Whangārei,"Strand Arcade, Shop beside Food Court, 41 Cameron Street",10,39,57,9,5,98,8,2,16,126,370,6
Whareora,"Whareora Hall, 821 Whareora Road",18,13,35,5,2,30,2,0,0,112,217,0
Whau Valley,"Whau Valley School Theatre, 17 Moody Avenue",7,9,17,3,5,49,2,3,5,78,178,1
Woodhill,"Hora Hora School Hall, 22 Te Mai Road",4,10,14,5,1,60,5,1,5,59,164,1

,Overseas Special Votes Including Defence Force - Whangārei,12,94,61,29,5,175,1,4,26,390,797,7
,Special Votes BEFORE Polling Day - Whangārei,87,252,307,97,44,582,56,17,80,1189,2711,59
,Special Votes ON Polling Day - Whangārei,117,241,288,91,52,510,88,13,99,960,2459,31
,Voting places where less than 6 votes were taken,0,0,5,0,0,0,0,0,1,2,8,0

,Whangārei Total,1006,2680,5371,1222,578,9419,612,140,859,20843,42730,394

,Valid Candidate Votes plus Informal Candidate Votes,,43124

Electorate Candidate Valid Votes,Party,,,"RETI, Shane Raymond - majority 11424"
"ANDREWS, Janita",New Zealand Loyal,1006,2.35
"BAZELEY, Rick",Green Party,2680,6.27
"BENNEY, Gavin John",New Zealand First Party,5371,12.57
"BRETHERTON, Susan Jane",ACT New Zealand,1222,2.86
"BURGESS, Diana",DemocracyNZ,578,1.35
"CLARK, Angela Maree",Labour Party,9419,22.04
"de JONGE, Jennifer",Aotearoa Legalise Cannabis Party,612,1.43
"GREEN, Fiona Elizabeth Mary",Independent,140,0.33
"KAPA-KINGI, Eru",Te Pāti Māori,859,2.01
"RETI, Shane Raymond",National Party,20843,48.78
