Party and Electorate Candidate Votes Recorded at each Voting Place
Wairarapa 58,Candidate Vote Details
,,"ARNOTT, Peter Rex","BUTTERICK, Michael","CASEY, Simon Francis","GARDNER, Jared Warren","McANULTY, Kieran Michael","WADE-BROWN, Celia","WAIKARE, Te Whakapono",Total Valid Candidate Votes,Informal Candidate Votes
Upper Hutt Central,"The Mall, former t&t shop, Ground Floor next to Farmers, 205 Main Street",0,2,0,0,6,0,0,8,0
Wainuioru,"Wainuioru School Classroom, 1340 Stronvar Road",5,84,0,0,12,2,0,103,1
Waipawa,"Central Hawkes Bay District Council, Council Chambers, 28-32 Ruataniwha Street",17,82,23,3,98,11,1,235,0
,"Waipawa School, Technology Block, 6 Harker Street",19,89,30,2,127,12,4,283,1
Waipukurau,"Central Hawkes Bay College Library, 45 Tavistock Road",16,148,27,3,91,12,5,302,3
,"The Terrace School Staffroom, 164 Porangahau Road",11,127,15,0,73,6,3,235,1
,"Waipukurau School Hall, St Marys Road",30,266,39,3,159,18,4,519,3
Weber,"Weber School, 3329 Weber Road",7,37,1,0,7,2,0,54,1
Wellington City,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",0,6,0,0,5,2,0,13,0
Whareama,"Whareama School, Whanake Room, 82 Langdale Road",2,50,1,0,15,1,0,69,0
Woodville,"Woodville School Hall, 87 Vogel Street, access from Bevan Street",42,159,40,7,148,15,8,419,7

,Overseas Special Votes Including Defence Force - Wairarapa,5,319,40,4,257,75,8,708,5
,Special Votes BEFORE Polling Day - Wairarapa,109,1031,155,26,927,201,71,2520,68
,Special Votes ON Polling Day - Wairarapa,165,931,135,24,781,184,82,2302,54
,Voting places where less than 6 votes were taken,0,1,0,0,0,0,0,1,0

,Wairarapa Total,1737,20313,1907,247,17497,1832,517,44050,457

,Valid Candidate Votes plus Informal Candidate Votes,,44507

Electorate Candidate Valid Votes,Party,,,"BUTTERICK, Michael - majority 2816"
"ARNOTT, Peter Rex",New Zealand Loyal,1737,3.94
"BUTTERICK, Michael",National Party,20313,46.11
"CASEY, Simon Francis",ACT New Zealand,1907,4.33
"GARDNER, Jared Warren",Independent,247,0.56
"McANULTY, Kieran Michael",Labour Party,17497,39.72
"WADE-BROWN, Celia",Green Party,1832,4.16
"WAIKARE, Te Whakapono",Te Pāti Māori,517,1.17
