Party and Electorate Candidate Votes Recorded at each Voting Place
Māngere 21,Candidate Vote Details
,,"ALAILIMA, Fuiavailili","BOURKE, Rosemary Tarshi","JOSEPH, Pothen","PETERS, Hilda","SOSENE, Lemauga Lydia","STANLEY, Brooke Fiafia","SYKES, Peter Brian",Total Valid Candidate Votes,Informal Candidate Votes
,"Kingsford Primary School, 54 Raglan Street",7,35,7,6,214,10,32,311,10
,"Māngere East Primary School, 21 Yates Road",11,51,7,25,366,8,56,524,23
,"Southern Cross Campus Hall, 237 Buckland Road",6,34,3,7,120,4,11,185,3
,"St Mary Mackillop Catholic School, 10-12 McNaughton Avenue",5,8,0,11,74,5,13,116,2
,"St Therese Catholic Parish Hall, 10 Wickman Way",11,17,1,12,224,4,20,289,4
,"Sutton Park School, 89 Vine Street",2,17,5,10,195,11,31,271,11
Manukau City Centre,"Westfield Manukau Mall, Centre Court, (corner Great South Road & Manukau Station Road)",3,13,1,1,50,1,5,74,2
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",0,3,2,2,15,0,7,29,1
Newmarket,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",0,3,2,1,2,1,1,10,0
Onehunga,"Onehunga Community Centre, 83 Church Street",2,8,0,2,21,0,2,35,1
Ōtāhuhu,"Ōtāhuhu Town Hall Community Centre, 10 High Street",0,4,2,0,13,1,2,22,0
Ōtara,"Te Puke ō Tara Community Hall, 20 Newbury Street",0,2,0,0,13,1,1,17,1
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",0,9,1,0,16,0,4,30,1
,"Malae O Fatugatiti Church Hall, 80 Wyllie Road",0,4,0,2,18,1,2,27,0
,"Papatoetoe West School Hall, 1-3 Hillcrest Road",2,40,6,3,115,3,26,195,2
,"Youthline Manukau, 145 Saint George Street",0,4,0,0,5,0,2,11,1

,Overseas Special Votes Including Defence Force - Māngere,9,81,14,20,158,18,50,350,3
,Special Votes BEFORE Polling Day - Māngere,64,754,95,153,2228,66,349,3709,157
,Special Votes ON Polling Day - Māngere,68,448,62,146,2010,43,323,3100,117
,Voting places where less than 6 votes were taken,0,2,0,0,3,0,0,5,0

,Māngere Total,535,5585,670,934,17297,502,2700,28223,793

