Party and Electorate Candidate Votes Recorded at each Voting Place
Tāmaki Makaurau 68,Candidate Vote Details
,,"HENARE, Peeni Ereatara Gladwyn","KEMP, Takutai Tarsh","TAMAKI, Hannah Radclavina","TANA, Darleen","TE HAU, Te Hinurewa Ngahiwi Tame Kawe",Total Valid Candidate Votes,Informal Candidate Votes
St Johns,"St John's Theological College, Wesley Hall, 202-210 St John's Road",12,8,1,2,1,24,0
Stonefields,"Stonefields School, 81 Tihi Street",3,6,0,1,1,11,0
Te Atatū
Henderson,"Henderson Primary School, 11B Montel Avenue",4,3,0,2,1,10,0
,"Te Pai Centre, 31-35 Te Pai Place",5,8,0,2,1,16,0
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",9,8,0,2,0,19,0
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",7,5,1,1,0,14,0
Te Atatū South,"Edmonton Primary School, 1 School Road",10,8,0,6,3,27,0
,"Flanshaw Road School, 51 Flanshaw Road",11,16,0,3,3,33,2
,"Rangeview Intermediate School, 5 Keru Place",8,6,1,2,1,18,1
,"Tirimoana School, 34 Kokiri Street",5,8,1,3,3,20,1

,Overseas Special Votes Including Defence Force - Tāmaki Makaurau,166,252,49,90,45,602,3
,Special Votes BEFORE Polling Day - Tāmaki Makaurau,1359,1689,113,426,127,3714,121
,Special Votes ON Polling Day - Tāmaki Makaurau,950,1083,84,337,112,2566,74
,Voting places where less than 6 votes were taken,82,58,7,26,34,207,4

,Tāmaki Makaurau Total,10026,10068,829,2925,1275,25123,481

,Valid Candidate Votes plus Informal Candidate Votes,,25604

Electorate Candidate Valid Votes,Party,,,"KEMP, Takutai Tarsh - majority 42"
"HENARE, Peeni Ereatara Gladwyn",Labour Party,10026,39.91
"KEMP, Takutai Tarsh",Te Pāti Māori,10068,40.07
"TAMAKI, Hannah Radclavina",Vision New Zealand,829,3.30
"TANA, Darleen",Green Party,2925,11.64
"TE HAU, Te Hinurewa Ngahiwi Tame Kawe",National Party,1275,5.08
