Party and Electorate Candidate Votes Recorded at each Voting Place
Tāmaki Makaurau 68,Candidate Vote Details
,,"HENARE, Peeni Ereatara Gladwyn","KEMP, Takutai Tarsh","TAMAKI, Hannah Radclavina","TANA, Darleen","TE HAU, Te Hinurewa Ngahiwi Tame Kawe",Total Valid Candidate Votes,Informal Candidate Votes
,"Clearpoint, The Garage, 9 Fanshawe Street",1,2,0,1,2,6,0
,"Ellen Melville Centre, Pioneer Women's Hall, Elizabeth Yates Room, 2 Freyberg Place",10,3,0,7,2,22,1
,"Pitt Street Methodist Church, Theatre, 78 Pitt Street",3,14,2,2,2,23,0
Freemans Bay,"Freemans Bay Primary School, 95 Wellington Street",8,7,1,4,1,21,0
Grafton,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",5,2,0,5,3,15,0
Grey Lynn,"Richmond Road School, 113 Richmond Road",9,5,0,5,1,20,0
Herne Bay,"Bayfield School, 2 Clifton Road",6,5,0,3,5,19,0
Oneroa,"Morra Hall, 115 Ocean View Road",4,3,0,4,0,11,0
Onetangi,"Onetangi Community Hall, 9 Third Avenue",9,6,0,9,1,25,0
Ostend,"Ostend Memorial Hall, 29 Belgium Street",4,4,1,5,2,16,1
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",12,8,0,4,6,30,0
,"Ponsonby Primary School, 44 Curran Street",1,0,0,5,0,6,0
,"St Mary's College, 11 New Street",2,3,0,2,4,11,0
Rocky Bay,"Rocky Bay Hall, 2 Glen Brook Road",1,1,1,2,2,7,0
Waiheke Island,"Waiheke High School, 11 Donald Bruce Road",7,5,0,7,2,21,1
Botany
Botany Downs,"Botany Downs Primary School, 35 Mirrabooka Avenue",3,1,0,0,4,8,0
,"Botany Downs Secondary College, 575 Chapel Road",10,5,0,2,1,18,0
,"Elim Christian Centre, 159 Botany Road",4,7,1,0,3,15,0
Burswood,"East City Wesleyan Church, 219 Burswood Drive",2,4,1,3,2,12,0
Dannemora,"Point View Primary School, 25 Kilkenny Drive",3,1,0,1,2,7,0
,"Willowbank School, 56 Middlefield Drive",5,5,3,1,0,14,1
Flat Bush,"Baverstock Oaks School, 21 Baverstock Road",9,7,1,5,1,23,0
,"Chapel Downs Primary School, 170 Dawson Road",18,13,2,3,0,36,0
,"Dawson Primary School, 15 Haumia Way",36,17,3,4,0,60,0
,"Kia Aroha College, 51 Othello Drive",36,28,1,5,1,71,2
,"Sancta Maria College, 319 Te Irirangi Drive",7,6,0,1,1,15,0
Howick,"Cockle Bay School, 24 Sandspit Road",5,5,0,0,4,14,0
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",3,3,0,1,1,8,0
Epsom
Epsom,"St George's Anglican Church Hall, 19 Ranfurly Road",4,3,0,1,1,9,0
Greenlane,"Cornwall Park District School Hall, 193 Greenlane West Road",5,3,0,0,3,11,0
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",6,3,0,0,0,9,0
,"Auckland Provincial Guide Centre, 132 Grange Road",6,4,0,2,1,13,0
,"Greyfriars Presbyterian Church, Memorial Hall, 544 Mount Eden Road",6,6,0,2,4,18,0
,"Mount Eden Normal Primary School, 73 Valley Road",8,5,0,2,0,15,0
,"Valley Road International Church Hall, 393 Mount Eden Road",3,3,0,3,0,9,1
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",3,9,0,3,1,16,0
Parnell,"Parnell Community Centre, Jubilee Hall, 545 Parnell Road",3,3,0,3,1,10,0
,"Parnell District School Hall, 48 Saint Stephens Avenue",7,14,1,1,5,28,1
Remuera,"Remuera Intermediate School, 55 Ascot Avenue",1,4,0,1,3,9,0
,"Somervell Presbyterian Church and Community Centre, Main Hall, 497 Remuera Road",7,0,0,0,2,9,0
,"Victoria Avenue School, 282 Victoria Avenue",2,1,0,2,1,6,0
Kelston
Avondale,"Avondale Intermediate School Hall, 12 Holly Street",8,3,0,1,0,12,0
,"Rosebank School Hall, 217 Rosebank Road",13,22,3,5,1,44,3
Glendene,"Church Unlimited, Auditorium 2, 3 Te Atatū Road",23,19,1,4,2,49,1
,"Glendene School Hall, 60 Barrys Road",13,10,1,3,3,30,0
Glen Eden,"Glen Eden Primary School Hall, 3 Glenview Road",9,10,0,6,0,25,0
,"Konini School Hall, 44 Withers Road",4,6,0,4,2,16,0
,"Methodist Centre of the West Church Hall, 302 West Coast Road",9,2,0,3,4,18,1
,"Our Lady of Lourdes Catholic Church Hall, 7 Glendale Road",23,11,0,2,1,37,0
,"Prospect School Hall, 76 Rosier Road",14,14,0,3,5,36,1
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, Whare Kowhanga, 441 West Coast Road",19,24,2,2,3,50,0
Henderson,"Hub West, Rua Back Room, 29 Corban Avenue",4,4,0,0,0,8,0
Kelston,"Kelston Boys' High School Hall, 78 Archibald Road, Archibald Road entrance",4,18,0,4,2,28,0
,"St Leonards Road School Hall, 15 St Leonards Road",21,16,0,5,3,45,1
Titirangi,"Kaurilands School Hall, 109 Atkinson Road",10,8,1,4,1,24,0
,"The Crossing - Te Whakawhitia, Konini House, 30/44 Kaurilands Road",4,9,0,2,1,16,0
Waterview,"Waterview Methodist Church Hall, 1547 Great North Road, Fir Street entrance",9,13,0,3,0,25,0
,"Waterview Primary School Hall, 16 Herdman Street",9,3,1,3,0,16,2
Māngere
Favona,"Favona School, 50 Wakefield Street, Cardrona Place entrance",15,11,0,1,1,28,0
,"Free Church of Tonga - Mounga 'Olive, 47 Favona Road",2,4,1,0,0,7,0
Ihumatao,"Makaurau Marae, 8 Ruaiti Road",6,27,0,3,2,38,0
Māngere,"Al Madinah School, 8 Westney Road",4,3,0,1,0,8,0
,"Koru Primary School, 71 Robertson Road",13,7,0,1,1,22,1
,"Māngere Arts & Events Centre, (corner Orly Avenue & Bader Drive)",23,8,1,2,1,35,1
,"Māngere Central School, 24 Kirkbride Road",8,10,0,1,4,23,0
,"Māngere College, 23 Bader Drive",6,3,0,3,0,12,1
,"Nga Iwi School, 60 Mascot Avenue",20,14,2,1,2,39,1
,"Papatūānuku Kōkiri Marae, 141R Robertson Road",15,16,1,4,0,36,0
,"Robertson Road School, 205 Robertson Road",10,5,0,0,1,16,1
,"Te Kura Kaupapa Māori a Rohe o Māngere, 7 Comet Crescent",13,18,0,2,0,33,0
,"Viscount Learning Community School, 65 Viscount Street",16,5,0,1,0,22,0
