Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tonga 71,Candidate Vote Details
,,"FERRIS, Tākuta","FUIMAONO KARENA, Geoffrey Wayne Puhi","ROBIN, Rebecca Rae","TIRIKATENE, Rino",Total Valid Candidate Votes,Informal Candidate Votes
Portobello,"Portobello School, 30 Harrington Point Road",7,2,0,2,11,0
Roslyn,"Roslyn Kindergarten, 69 Highgate",5,1,1,5,12,1
Sawyers Bay,"Sawyers Bay School, 99 Stevenson Avenue",1,0,6,8,15,0
Waikouaiti,"East Otago Events Centre, 215 Main Road",4,1,2,2,9,1
Waitati,"Blueskin Bay Library, 28 Harvey Street",6,0,1,5,12,0
Wakari,"Wakari School Hall, 150 Helensburgh Road",9,1,1,9,20,0
Waverley,"Grant's Braes School, 137 Belford Street",2,0,0,11,13,2
Woodhaugh,"George Street Normal School Hall, 989 George Street",9,1,2,4,16,0
Hutt South
Alicetown,"Hutt Central School, 6 Railway Avenue",5,0,0,2,7,0
Boulcott,"Boulcott School, 21 Boulcott Street",6,0,5,4,15,0
Days Bay,"Wellesley College, 611A Marine Drive",5,0,1,4,10,0
Eastbourne,"Eastbourne Sports & Services Club, ESSC & RSA, 48 Tuatoru Street",4,0,0,2,6,1
Epuni,"Congregational Christian Church of Samoa Hall, 37 Mitchell Street",0,0,1,6,7,1
,"Dyer Street School, 9 Dyer Street",6,0,0,2,8,1
,"Epuni School Hall, 313 Waiwhetu Road",5,0,3,13,21,0
Gracefield,"Gracefield School, 20A Bell Road",3,0,1,6,10,0
Hutt Central,"Queensgate Shopping Centre, Level 1, behind Subway, (corner Queens Drive & Bunny Street)",12,0,2,8,22,0
Korokoro,"Korokoro School Hall, 79 Korokoro Road",3,0,1,3,7,0
Melling,"Hutt City Church, 31B Marsden Street",3,1,1,2,7,0
Moera,"Randwick School, 59 Randwick Road",19,0,2,16,37,0
Petone,"Petone Central School, 16 Britannia Street",28,0,2,9,39,4
,"Petone Working Men's Club, 47 Udy Street",10,0,2,10,22,0
,"Wilford School, 100 William Street",19,0,3,11,33,1
Seaview,"Kōkiri Marae, 7-9 Barnes Street",10,1,0,1,12,0
Wainuiomata,"Wainuiomata Marae, 153-201 Parkway",4,0,0,2,6,0
Waiwhetū,"St Paul's Parish Hall, 76 Waiwhetū Road",5,0,2,5,12,0
,"Waiwhetū Marae Meeting House, 21 Puketapu Grove",47,0,2,28,77,0
Waterloo,"Hutt Intermediate School, 7 Kauri Street",6,0,1,4,11,0
,"Waterloo School, 26 Hardy Street",11,0,2,11,24,2
Woburn,"Hutt Valley High School, 84-114 Woburn Road",3,0,1,3,7,1
Ilam
Avonhead,"Avonhead Primary School Hall, 55 Avonhead Road",10,1,0,6,17,1
,"Merrin School Ngā Whetū Kohara Hall, 41 Merrin Street",5,0,2,8,15,0
Bishopdale,"Bishopdale School Te Kura o Papakōhatu Hall, 465 Greers Road",5,1,1,7,14,0
,"Breens Intermediate School Hall, 85 Breens Road",6,1,1,4,12,0
,"Cotswold Mātāhae School Hall, 50 Cotswold Avenue",11,1,3,13,28,0
,"St Margaret's Presbyterian Church, The Hub, 94 Farrington Avenue",7,0,1,9,17,1
,"Te Kura o Te Mātāpuna Isleworth School Hall, 59A Farrington Avenue",5,1,0,3,9,0
Bryndwr,"St Aidan's Anglican Church, 63 Brookside Terrace",4,1,3,6,14,0
,"St Patrick's Catholic Primary School, 108 Jeffreys Road",2,0,1,4,7,0
Burnside,"St Timothy's Church Hall, 46 Kendal Avenue",9,1,3,7,20,0
,"Te Ara Maurea Roydvale School Hall, 117 Roydvale Avenue",4,0,1,1,6,0
,"The Village Presbyterian Church Hall, 365 Ilam Road",3,0,1,6,10,0
,"Waimairi-iri Burnside High School, J Block, 151 Greers Road, Memorial Avenue entrance",1,0,1,4,6,0
Fendalton,"Christchurch Boys' High School Hall, 71 Straven Road, Kahu Road entrance",5,0,1,1,7,0
,"Fendalton Community Centre, 170 Clyde Road",4,1,1,7,13,0
Ilam,"Te Kura o Waiutuutu Ilam School Hall, 66 Ilam Road",5,0,2,3,10,0
Merivale,"He Tīwai Mātauranga Heaton Normal Intermediate School Hall, 125-133 Heaton Street",6,0,0,1,7,1
Papanui,"St Paul's Anglican Church Parish Hall, 1 Harewood Road",5,0,0,4,9,0
,"Waimairi School Hall, 1 Tillman Avenue",5,0,1,5,11,0
Russley,"Russley Playcentre, 8 Apsley Drive",4,0,0,3,7,0
Invercargill
Bluff,"Bluff School, 39 Bradshaw Street",29,2,2,35,68,0
,"St Teresa's School, 181 Foyle Street",13,1,3,10,27,1
Colac Bay,"Colac Bay Rifles Volunteer Hall, 14 Manuka Street",8,0,0,5,13,1
Invercargill,"Ascot Community School Hall, 580 Tay Street",13,0,3,8,24,0
,"Donovan Primary School, 200 Drury Lane",8,0,2,7,17,0
,"Eastside Baptist Church, 2 Glengarry Crescent",14,1,8,10,33,2
,"Fernworth Primary School Hall, 288 Pomona Street",20,2,6,15,43,2
,"Holy Trinity Anglican Church Hall, 61 King Street",10,1,2,10,23,1
,"ILT Stadium Southland, 18 Surrey Park Road",27,1,1,8,37,0
,"Invercargill Central, Main Entrance, 39 Esk Street",23,1,4,12,40,1
,"James Hargest College Junior Campus, 6 Layard Streeet",8,1,0,4,13,0
,"James Hargest College Senior Campus, 288 Layard Street",4,1,1,0,6,0
,"Knox Presbyterian Church, 107 Pomona Street",11,3,7,15,36,1
,"Murihiku Marae, 408 Tramway Road",13,0,5,13,31,2
,"Ngā Hau E Whā Marae, 193 Conon Street",45,0,0,16,61,0
,"Pacific Island Advisory Charitable Trust (PIACT), 135 Bowmont Street",4,0,1,3,8,0
,"Southland Girls' High School, 328 Tweed Street",7,2,6,17,32,0
,"St Andrew's Community Church, 141 Manse Street",20,1,16,27,64,1
,"St John's Girls' School, 349 Dee Street",6,0,1,1,8,0
,"St Stephen's Presbyterian Church Hall, 290 North Road",15,1,7,5,28,1
,"Waihopai School Hall, 121 Herbert Street",2,1,0,4,7,1
,"Windsor Community Church, 19 Windsor Street",8,1,2,11,22,1
Makarewa,"Makarewa School, 56 Flora Road East",2,3,2,6,13,0
Myross Bush,"Myross Bush Community Hall, 238 Mill Road North",2,3,2,0,7,1
Nightcaps,"Takitimu Primary School Hall, 17 Evans Street",4,0,8,3,15,1
Oban,"Stewart Island Community Centre, 10 Ayr Street",1,0,4,8,13,1
Ohai,"Ohai Hall, 10 Richmond Street",5,1,1,3,10,0
Otatara,"Otatara Community Centre, 146 Dunns Road",7,3,1,6,17,1
Otautau,"Otautau School, 17 Elles Road",7,0,1,4,12,1
Riverton,"Riverton Primary School Hall, 7 Leader Street",17,1,9,11,38,1
Thornbury,"Thornbury Primary School, 28 Muriel Street",4,0,2,0,6,0
Tisbury,"Tisbury School, 3 Boundary Road",13,0,3,3,19,0
Tokanui,"Tokanui School, 18 Duncan Street",2,0,2,2,6,0
Tuatapere,"Waiau Area School, 47 Orawia Road",4,0,2,5,11,3
Waimahaka,"Waimahaka Community Centre, 15 Waimahaka-Fortification Road",1,2,0,3,6,0
Wyndham,"Wyndham Primary School, 40 Florence Street",4,0,2,1,7,1
Kaikōura
Amberley,"Amberley School, Rewi Alley Hall, Douglas Road (corner Lawcocks Road)",3,0,1,2,6,0
,"Hurunui Library, RSA Room, 111 Carters Road (State Highway 1)",8,1,6,5,20,2
Blenheim,"Alzheimers Centre, 8 Wither Road",4,0,0,4,8,0
,"Bohally Intermediate School Hall, 37 McLauchlan Street",4,0,5,2,11,0
,"Bright Centre, 2 Dillons Point Road",2,0,0,4,6,0
,"Connect, 8 Beaver Road (corner High Street)",2,0,2,6,10,0
,"Marlborough Boys' College Pavilion, 5 Stephenson Street",6,1,3,2,12,0
,"Marlborough District Council Reception, 15 Seymour Street",5,1,1,4,11,0
,"Marlborough Library - Te Kahu o Waipuna, 15 High Street",10,1,5,9,25,0
,"Mayfield School Hall, 79 Hutcheson Street",5,1,1,4,11,1
,"NMIT Marlborough Campus, Main Entrance, 85 Budge Street",5,0,0,8,13,0
,"Springlands Mall, 133 Middle Renwick Road",6,3,1,8,18,1
,"Stadium 2000 Programmes Room, 26 Redwood Street entrance",16,1,0,11,28,1
,"St Christopher's Church Hall, 92 Weld Street, Redwoodtown",11,2,9,15,37,2
,"St Ninians Church Hall, 1 Riley Crescent (corner Alabama Road)",4,3,3,3,13,1
,"Whitney Street School Hall, 9 Whitney Street",3,0,1,7,11,0
,"Witherlea School Hall, 216 Weld Street",9,1,0,3,13,0
Culverden,"Amuri Area School, Community Room, School Road",2,3,1,2,8,0
Hanmer Springs,"Hanmer Springs Community Library and Hall, Cheltenham Street (corner Amuri Avenue)",4,0,4,2,10,0
Havelock,"Havelock School Hall, 47 Main Road",7,1,3,1,12,2
Hawarden,"Hawarden Community Library at Hurunui College, 2 Tenterden Street",1,0,3,3,7,0
Kaikōura,"Kaikōura Primary School, 19 Torquay Street",8,0,7,10,25,0
,"Kaikōura Suburban School Library, 425 Schoolhouse Road",3,1,0,3,7,1
,"Te Whare Putea Heartlands, 105 Beach Road",12,3,4,14,33,3
Leithfield,"Leithfield School Hall, 64 Old Main North Road",3,1,1,4,9,0
Loburn,"Loburn School Te Kura Aromauka, Mt Thomas Room, 73 Hodgsons Road",2,0,1,4,7,0
Picton,"Mariners Mall, Shop 17, 100 High Street",16,0,8,18,42,1
,"Picton School Hall, 25 York Street (between Buller Street & Broadway)",7,1,2,9,19,0
,"Queen Charlotte College Whare Ako, 173 Waikawa Road",7,2,0,8,17,0
Renwick,"Renwick Community Memorial Hall, 27 High Street",7,2,2,10,21,1
Riverlands,"Riverlands Hall, School Road (corner Alabama Road)",2,1,0,3,6,0
Seddon,"Seddon School Staff Room, 15 Redwood Street",7,1,3,2,13,1
Spring Creek,"Spring Creek School, 52 Ferry Road",14,0,1,16,31,2
Waiau,"Waiau School, 11 Montrose Street (corner Leslie Street)",6,1,0,1,8,1
Woodbourne,"RNZAF Woodbourne Community Centre, Caldwell Road",1,0,4,2,7,0
Nelson
Enner Glynn,"Enner Glynn School, 10 The Ridgeway",10,1,0,7,18,2
Marybank,"Clifton Terrace School, 888 Atawhai Drive",4,0,2,1,7,1
Nelson,"Auckland Point School, 111 Haven Road",10,1,1,3,15,0
,"Corner Shop, opposite McDonald's Nelson, 135 Rutherford Street, (corner of Rutherford Street & Selwyn Place)",27,2,2,8,39,1
,"Elma Turner Library, 27 Halifax Street",9,1,6,4,20,0
,"Habitat for Humanity Hub Nelson, 166 Tahunanui Drive",6,0,1,5,12,2
,"NMIT Te Pūkenga, N Block, 322 Hardy Street",9,0,2,7,18,0
Nelson South,"Hampden Street School, 250 Hampden Street",4,0,2,4,10,0
Richmond,"Club Waimea, 345 Lower Queen Street",6,1,0,4,11,0
,"Garin College, 35 Champion Road",7,0,2,4,13,0
,"Richmond Library, 280 Queen Street",6,0,5,9,20,0
,"Richmond Mall, next to Boulevard Café, Queen Street entrance, 212 Queen Street",7,0,5,7,19,0
,"Richmond School Community Hall, 14 Cambridge Street",5,0,1,2,8,2
Stoke,"Broadgreen Intermediate School, 193 Nayland Road",18,1,4,15,38,1
,"Pūtangitangi Greenmeadows Centre, (corner Main Road Stoke & Songer Street)",22,1,4,17,44,3
,"Saxton Pavilion, Nelson Cricket Ground, 142 Saxton Road East",3,1,4,4,12,1
Tāhunanui,"Tahunanui Community Hub, 55 Muritai Street",3,1,3,5,12,1
Toi Toi,"Victory Community Centre, 2 Totara Street",14,0,2,8,24,1
Ōhāriu
Churton Park,"Amesbury School, 48 Amesbury Drive",6,0,0,0,6,0
,"Churton Park Community Centre, 75 Lakewood Avenue",1,0,1,7,9,1
Crofton Downs,"Crofton Downs Primary School, 21 Chartwell Drive",6,0,0,5,11,0
Grenada Village,"Grenada Village Community Hall, 4 Mandeville Crescent",6,0,1,5,12,0
Johnsonville,"Johnsonville School, 8 Morgan Street",9,0,2,6,17,0
,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",33,2,3,16,54,0
,"Onslow College, Burma Road",14,0,1,2,17,0
,"West Park School, 97 Broderick Road",3,0,1,3,7,1
Khandallah,"Cashmere Avenue School, 110 Cashmere Avenue",3,0,1,7,11,0
,"Khandallah Presbyterian Church, 33 Ganges Road",4,1,0,7,12,0
,"Khandallah Town Hall, 11 Ganges Road",4,3,0,2,9,0
Newlands,"Newlands Community Centre, 9 Batchelor Street",15,1,1,8,25,0
,"Newlands School, 200 Newlands Road",7,0,1,6,14,0
,"Ngā Hau e Whā o Paparārangi, 30 Ladbrooke Drive",14,0,1,11,26,0
Ngaio,"Ngaio School, 45 Abbott Street",2,0,1,3,6,0
,"Ngaio Town Hall, 1 Ottawa Road",13,1,0,10,24,0
Paparangi,"Paparangi School, 59 Beazley Avenue",12,0,0,8,20,0
Wadestown,"St Luke's Centre, 34 Pitt Street (corner Wadestown Road)",3,0,0,7,10,0
Rangitata
Arowhenua,"Arowhenua Māori School, 33 Huirapa Street",3,0,1,10,14,0
Ashburton,"Allenton School, 110 Harrison Street",3,0,1,6,10,0
,"Ashburton Intermediate School, 144 Cass Street",1,1,2,6,10,1
,"Ashburton Trust Event Centre, 211A Wills Street",4,1,1,5,11,1
,"EA Networks Centre, 20 River Terrace",5,0,0,2,7,0
,"Hampstead School, 55 Wellington Street",5,0,2,6,13,0
,"Tinwald War Memorial Hall, 10 Graham Street (corner McMurdo Street)",5,2,6,6,19,1
,"Walnut Ave Pavillion, 66 Walnut Avenue",1,2,5,3,11,0
Fairton,"Fairton School, 14 Fairfield Road",2,0,1,3,6,3
Methven,"Mt Hutt Memorial Hall, Function Room, 160 Main Street",3,2,2,5,12,0
Pleasant Point,"Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",5,1,2,7,15,1
Rakaia,"Rakaia Community Centre, 55 Elizabeth Avenue (corner Mackie Street)",9,1,6,8,24,1
Temuka,"Opihi College, 83 Richard Pearse Drive",2,0,1,4,7,2
,"St John Ambulance Rooms, 47 King Street",8,1,2,12,23,1
,"Temuka Primary School, 9 Hayhurst Street",4,1,1,4,10,0
Timaru,"Ara Institute of Canterbury, Starz Restaurant, 32 Arthur Street",3,1,2,7,13,0
,"Bluestone School, 46 Raymond Street",9,0,0,3,12,0
,"Church Street Bible Chapel, 213 Church Street (corner Avenue Road)",4,2,1,1,8,0
,"Grantlea Downs School, 65 Grants Road",4,1,1,7,13,0
,"South School, 44 Queen Street",6,0,1,5,12,0
,"Timaru Girls High School, 68 Cain Street",2,0,1,5,8,0
,"Timaru Indoor Bowls Stadium, opposite Northtown Mall, 20 Ranui Avenue",2,0,1,6,9,1
,"Timaru Library, 56 Sophia Street",9,1,8,10,28,1
Washdyke,"209 Hilton Meeting Room, by Robert Harris Cafe, 209 Hilton Highway",2,2,2,0,6,0
Rongotai
Berhampore,"Berhampore School, Room One, 105 Britomart Street",7,1,1,2,11,0
,"South Wellington Intermediate School Hall, 165 Rintoul Street",6,1,0,1,8,0
Breaker Bay,"Breaker Bay Hall, 150 Breaker Bay Road",6,0,0,1,7,0
Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",4,0,5,12,21,0
Hataitai,"Hataitai Community House, 112 Waipapa Road",5,0,0,1,6,0
,"Hataitai School Hall, 2 Arawa Road",16,0,1,4,21,0
,"Kilbirnie School Hall, 72 Hamilton Road",5,0,1,1,7,0
Island Bay,"Island Bay Presbyterian Church Lounge Hall, 88 The Parade",17,1,1,9,28,0
,"Island Bay School Hall, 6 Thames Street",6,0,0,7,13,0
,"St Hilda's Church Parish Centre, 311 The Parade",6,0,1,11,18,1
Kilbirnie,"Ākau Tangi Sports Centre, formerly ASB Sports Centre, 72 Kemp Street",17,0,0,12,29,0
,"Kilbirnie & Lyall Bay Community Centre, 56-58 Bay Road",19,1,2,13,35,1
,"St Patrick's College, Staff Room, 581 Evans Bay Parade",5,2,1,3,11,0
,"Wellington Islamic Centre, 7-11 Queens Drive",9,0,0,3,12,0
Kingston,"Capital Montessori School, Kahikatea Room, 14 Camrose Grove",7,0,0,1,8,0
Lyall Bay,"Lyall Bay School Hall, 2 Freyberg Street",20,0,1,9,30,0
Miramar,"Miramar Central School Hall, 38 Park Road",16,0,1,15,32,2
,"Miramar Christian School, Room One, 41 Camperdown Road",6,0,0,8,14,0
,"Miramar & Maupuia Community Centre, 27 Chelsea Street",17,0,1,11,29,0
,"Miramar Playcentre, 23 Crawford Green",5,0,0,2,7,0
Mornington,"Ridgway School Hall, 120 Mornington Road",5,1,0,3,9,0
Newtown,"Newtown Community Hall, 71 Daniell Street",8,0,0,8,16,0
,"Newtown School Hall, (corner Riddiford Street & Mein Street)",16,0,0,6,22,2
,"New World Precinct, next to New World, 199 Riddiford Street",14,0,2,13,29,0
,"Riddiford Corner Shop, 15 Riddiford Street",4,1,0,4,9,0
Ōwhiro Bay,"Owhiro Bay School Hall, 100 Happy Valley Road",12,1,3,10,26,0
Rongotai,"Rongotai College Hall, 170 Coutts Street",14,1,0,4,19,0
Roseneath,"Roseneath School Hall, 13 Maida Vale Road",7,0,0,1,8,0
Seatoun,"Seatoun Village Hall, 26A Forres Street",7,1,0,2,10,0
Strathmore Park,"Strathmore Park Community Centre, 108 Strathmore Avenue",6,0,1,14,21,0
Selwyn
Burnham,"Burnham School Hall, (corner Chaytor Avenue & Godley Road)",9,0,3,3,15,1
Darfield,"Darfield High School Hall, 7 McLaughlins Road",8,1,2,9,20,0
Glentunnel,"Glentunnel Community Centre, 2652 Homebush Road",1,0,1,5,7,0
Hororata,"Hororata Community Hall, 61 Hororata Road",1,0,4,2,7,0
Leeston,"Leeston Consolidated School, 19 Selwyn Street",10,0,2,11,23,2
Lincoln,"Ararira Springs Primary School, 18 Russ Drive",3,0,3,5,11,0
,"Lincoln Event Centre, 15 Meijer Drive",15,0,3,3,21,1
,"Lincoln High School Waiora, 25 Boundary Road",4,0,0,3,7,0
Prebbleton,"Prebbleton School Hall, 2-8 Blakes Road",5,0,1,5,11,0
Rolleston,"Clearview Primary Hall, 20 Broadlands Drive",13,1,5,13,32,4
,"Lemonwood Grove School, 14 Lemonwood Drive",11,0,2,8,21,0
,"Selwyn District Council, 2 Norman Kirk Drive",32,1,6,14,53,1
,"West Rolleston School, 327 Dunns Crossing Road",12,0,1,8,21,0
Southbridge,"Southbridge School, 25 Hastings Street",1,0,3,5,9,1
Springfield,"Tawera Memorial Hall, West Coast Road (State Highway 73)",2,0,2,3,7,1
Springston,"Springston Primary School Library, 16-20 Leeston Road",7,0,2,5,14,0
Tai Tapu,"Tai Tapu School, (corner School Road & Main Akaroa Highway)",7,0,1,6,14,1
Templeton,"Templeton Primary School Auditorium, 40 Kirk Road",15,0,5,8,28,0
West Melton,"West Melton Community and Recreation Centre, 1163 West Coast Road (State Highway 73)",7,1,0,6,14,4
Southland
Alexandra,"Alexandra Primary School, Ventry Street",5,2,2,6,15,1
,"Dunstan High School, School Gymnasium, Room G2, 12 Enterprise Street",3,0,0,3,6,1
,"St Gerard's Parish Hall, 2 Station Street, Tarbert Street entrance",7,2,1,2,12,0
Arrowtown,"Arrowtown Primary School, 8 Chalmers Place",4,0,1,4,9,1
Clinton,"Clinton Community Centre, 2 Skerry Street",4,4,1,1,10,0
Frankton,"Queenstown Events Centre, 33 Joe O'Connell Drive",8,2,2,6,18,0
,"St Margaret's Presbyterian Church, (corner Kawarau Road & Ross Street)",9,2,3,3,17,1
Gore,"Calvin Community Church, 25 Robertson Street",3,0,1,4,8,1
,"East Gore School Hall, 3 Wentworth Street",6,0,2,5,13,0
,"Gore Main School Hall, 39 Ardwick Street",6,2,6,2,16,0
,"Gore Town & Country Club, Esplin Room, 2 Bury Street",3,0,1,4,8,0
,"James Cumming Community Rooms, Otamatea Room, 10 Ardwick Street",6,2,2,10,20,0
Kingston,"St John's Ambulance Service Room, 21 Kent Street",3,0,1,2,6,0
Lake Hayes Estate,"Gems Educational Childcare Lake Hayes Estate, 12 Onslow Road",2,3,5,4,14,0
Lumsden,"Lumsden Senior Citizen Rooms, 10 Diana Street",2,1,3,3,9,1
Manapouri,"Manapouri Hall, 11 Hall Road",1,2,2,3,8,1
Mataura,"Mataura Community Centre, 2 Macqueen Avenue",4,0,2,12,18,0
,"Mataura School Hall, 33 Oakland Street",4,0,1,10,15,0
Mossburn,"Mossburn School, 28 Surrey Street",4,1,2,2,9,0
Owaka,"Owaka Memorial Community Centre, 3 Ovenden Street",4,0,2,2,8,3
Queenstown,"Queenstown Memorial Centre, 1 Memorial Street",10,0,2,8,20,2
,"Queenstown Primary School Hall, 20 Robins Road",3,0,2,3,8,0
Riversdale,"Riversdale School, 28 Rutland Street",4,1,1,2,8,0
Roxburgh,"Roxburgh Area School Library, 78 Scotland Street",3,0,1,2,6,1
Tapanui,"Blue Mountain College School Hall, State Highway 90",2,3,1,6,12,0
Te Anau,"Fiordland Community Events Centre, 22 Luxmore Drive",10,1,8,1,20,1
Winton,"Winton Memorial Hall, 2 Meldrum Street",3,1,1,4,9,0
,"Winton Primary School Hall, 16 Eglinton Street",5,3,3,0,11,1
Taieri
Andersons Bay,"Andersons Bay School, 92 Jeffery Street",1,0,0,5,6,0
Balclutha,"Balclutha Primary School Hall, 21 Lanark Street",3,1,1,2,7,2
,"Rosebank School Hall, 43 Frances Street",4,0,1,7,12,0
,"Te Pou Ō Mata-au Clutha District War Memorial & Community Centre, 6 Clyde Street",14,1,8,12,35,2
Brighton,"Big Rock School, 2 Bath Street",8,0,5,6,19,1
Caversham,"Carisbrook School, 217 South Road",8,0,1,6,15,0
,"Caversham Presbyterian Church, St Andrews Room, 61 Thorn Street",8,0,2,10,20,0
,"Pacific Trust Otago, 350 South Road",4,0,1,1,6,0
Concord,"Concord School, 5 Thoreau Street",3,0,1,2,6,1
Corstorphine,"Caversham Harrier & Athletic Clubrooms, 201 Middleton Road",8,1,0,8,17,0
Fairfield,"Fairfield Community Hall, 10 Fairplay Street",8,1,2,10,21,0
Green Island,"Green Island Civic Hall, 5 Howden Street",7,1,6,3,17,1
,"Otago School of Piping and Drumming, 186 Main South Road",2,0,0,7,9,0
Kaitangata,"Kaitangata School, 108 Salcombe Street",4,0,2,3,9,0
Milton,"Milton Coronation Hall, Chamber Room, 93 Union Street",10,2,4,5,21,2
,"Tokomairiro High School Hall, 238 Union Street",5,0,3,4,12,0
Mosgiel,"Elmgrove School, Ayr Street entrance",6,2,2,3,13,0
,"Former The Warehouse Building, 161 Gordon Road",16,1,7,15,39,4
,"Mosgiel Abilities Resource Centre, 16 Green Street",3,0,3,1,7,0
,"Reid Park Kindergarten, 63 Murray Street",8,0,0,4,12,0
Musselburgh,"Musselburgh Baptist Church, 131 Musselburgh Rise",13,0,2,6,21,0
,"Musselburgh School, 34 Marlow Street",5,0,0,12,17,0
Outram,"Outram School Hall, 1 Beaumaris Street",5,0,0,5,10,0
South Dunedin,"Bathgate Park School, 213 Macandrew Road",10,1,0,9,20,0
,"Nations Church, 334 King Edward Street",15,0,8,11,34,2
St Clair,"St Clair School Hall, 135 Richardson Street",7,0,4,9,20,1
,"Vintage Car Club, 125 Forbury Road",5,0,0,4,9,1
Taieri Beach,"Taieri Beach School Library, 208 Moturata Road",2,0,0,7,9,1
Tainui,"Tainui School Library, 41 Tahuna Road",7,0,1,4,12,0
Waihola,"Waihola District School, 5 Kilgour Street",5,1,2,2,10,0
Waimakariri
Belfast,"Belfast Community Centre, 710 Main North Road, Sheldon Park",9,0,2,4,15,0
,"Belfast Salvation Army, 794 Main North Road",7,1,2,12,22,0
Clarkville,"Clarkville Te Kura ki Waimātao, 10 Heywards Road",4,0,0,2,6,1
Fernside,"Fernside School, 285 O'Roarkes Road",1,2,2,2,7,0
Kaiapoi,"Kaiapoi Community Centre, Mill Room, 24 Sewell Street",8,0,3,9,20,0
,"Kaiapoi High School Cultural Centre, 101 Ohoka Road",15,1,3,16,35,1
,"Kaiapoi Library and Service Centre, 176 Williams Street",16,1,7,16,40,0
,"Kaiapoi North School, 278 Williams Street",6,2,4,8,20,0
Oxford,"Oxford Jaycee's Hall, 56 Main Street",2,3,1,6,12,0
Papanui,"Casebrook Intermediate School, 90 Veitches Road",14,0,3,3,20,1
Pegasus,"Pegasus Bay School, 5 Solander Road",4,1,0,6,11,1
Rangiora,"Ashgrove School, 48 Seddon Street",5,1,0,3,9,0
,"McAlpine Pipe Band Hall, next to New World Rangiora, 8A Ashley Street",8,1,6,7,22,0
,"Rangiora Gateway New Life School, 2 Denchs Road",2,0,1,3,6,0
,"Rangiora High School, 125 East Belt, Wales Street entrance",7,1,2,0,10,0
,"St Johns Anglican Church Hall, (corner Church Street & High Street)",7,0,0,4,11,0
Swannanoa,"Swannanoa School, 1305 Tram Road",5,1,1,5,12,3
Tuahiwi,"Tuahiwi School, 206 Tuahiwi Road",7,0,6,20,33,1
Waikuku Beach,"Waikuku Beach Hall, (corner Park Terrace & Domain Road)",7,3,0,9,19,0
West Eyreton,"West Eyreton School Hall, 1650 North Eyre Road",1,2,0,5,8,1
Woodend,"Woodend Community Centre, 6A School Road",12,1,3,9,25,3
Waitaki
Cromwell,"Cromwell Presbyterian Church, 10 Elspeth Street",10,5,5,4,24,0
,"Cromwell Primary School Hall, 61 Molyneux Avenue, access from Monaghan Street",1,1,3,1,6,0
,"Cromwell Sports Club, 7 Barry Avenue",7,1,1,9,18,1
Fairlie,"Fairlie Primary School, 21 School Road",3,2,0,3,8,1
Geraldine,"Geraldine Primary School Hall, 73 Wilson Street",1,0,1,4,6,0
Hampden,"Hampden Memorial Hall, 25/27 London Street",2,0,3,1,6,1
Lake Hāwea,"Lake Hāwea Community Centre, 28 Myra Street",9,1,3,4,17,0
Luggate,"Luggate Hall, 54 Main Road",4,0,3,2,9,1
Moeraki,"Moeraki Coronation Hall, 41 Haven Street",7,0,1,5,13,1
Oamaru,"Fenwick School Hall, Hull Street entrance, 25A Arun Street",2,0,5,7,14,0
,"Oamaru Tongan Methodist Parish, Wesley Centennial Hall, 22 Eden Street",2,0,2,5,9,0
,"St Mary's Anglican Church Hall, 410 Thames Highway",4,1,4,2,11,2
,"Te Pākihi o Maru - Oamaru North School, 40 Torridge Street",3,0,2,4,9,0
Otematata,"Otematata Community Hall, 1 West Road",1,0,1,4,6,0
Palmerston,"Waihemo Service Centre, 54 Tiverton Street",4,0,1,2,7,1
Twizel,"Twizel Events Centre, Market Place",5,0,4,2,11,0
Waimate,"Waimate Event Centre, 15 Paul Street",4,2,4,10,20,0
,"Waimate Silver Band Hall, 135 High Street",3,0,1,3,7,0
Wānaka,"Lake Wānaka Centre, Armstrong Room, 89 Ardmore Street",6,1,6,3,16,1
,"Presbyterian Community Church Centre, 91 Tenby Street",1,1,0,4,6,0
,"Te Kura O Take Kārara, 3 Grace Wright Drive, Three Parks",7,2,0,5,14,0
,"Wānaka Primary School Hall, 7 Ironside Drive",5,0,2,2,9,0
Weston,"Weston Primary School, 1 Charles Street",3,0,4,1,8,1
Wellington Central
Aro Valley,"Aro Valley Community Centre Hub, 48 Aro Street",14,1,1,7,23,1
Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",13,1,4,6,24,0
Karori,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",15,0,0,6,21,0
,"Karori Normal School, 2 Donald Street",6,0,0,3,9,1
,"Karori West Normal School Hall, 19 Allington Road",12,0,0,6,18,0
,"St Teresa's Parish Hall, 301 Karori Road",2,0,0,8,10,0
Kelburn,"Kelburn Normal School Hall, 16 Kowhai Road",6,0,1,6,13,0
Mt Cook,"Mt Cook School, 160 Tory Street",9,0,1,2,12,0
,"Wellington High School Cafe, 249 Taranaki Street",7,0,0,5,12,0
Mt Victoria,"Clyde Quay School, 27 Elizabeth Street",10,0,0,10,20,0
