Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tonga 71,Candidate Vote Details
,,"FERRIS, Tākuta","FUIMAONO KARENA, Geoffrey Wayne Puhi","ROBIN, Rebecca Rae","TIRIKATENE, Rino",Total Valid Candidate Votes,Informal Candidate Votes
,"Stadium 2000 Programmes Room, 26 Redwood Street entrance",20,1,11,34,66,5
,"St Christopher's Church Hall, 92 Weld Street, Redwoodtown",20,1,9,37,67,0
Kaikōura,"Te Whare Putea Heartlands, 105 Beach Road",30,4,5,32,71,3
Picton,"Mariners Mall, Shop 17, 100 High Street",42,5,7,44,98,6
Renwick,"Renwick Community Memorial Hall, 27 High Street",3,1,2,5,11,2
Taken in Kaikōura,"Hospital and Care Homes, Team 1 - Marlborough",2,0,1,3,6,0
Nelson
Nelson,"Corner Shop, opposite McDonald's Nelson, 135 Rutherford Street, (corner of Rutherford Street & Selwyn Place)",40,2,6,17,65,1
,"Elma Turner Library, 27 Halifax Street",48,2,10,31,91,0
,"Habitat for Humanity Hub Nelson, 166 Tahunanui Drive",17,0,1,14,32,2
,"NMIT Te Pūkenga, N Block, 322 Hardy Street",36,1,4,15,56,1
,"The Warehouse Nelson, 23 Saint Vincent Street",33,2,7,18,60,2
Richmond,"Club Waimea, 345 Lower Queen Street",13,2,3,14,32,1
,"Richmond Library, 280 Queen Street",26,1,3,26,56,4
,"Richmond Mall, next to Boulevard Café, Queen Street entrance, 212 Queen Street",40,1,7,32,80,6
Stoke,"Pūtangitangi Greenmeadows Centre, (corner Main Road Stoke & Songer Street)",75,5,6,43,129,4
,"Saxton Pavilion, Nelson Cricket Ground, 142 Saxton Road East",9,1,1,6,17,0
Tāhunanui,"Tahunanui Community Hub, 55 Muritai Street",24,2,7,11,44,5
Toi Toi,"Victory Community Centre, 2 Totara Street",62,0,4,13,79,2
Rangitata
Ashburton,"Ashburton Trust Event Centre, 211A Wills Street",18,3,6,36,63,2
,"EA Networks Centre, 20 River Terrace",3,2,1,7,13,3
,"Tinwald War Memorial Hall, 10 Graham Street (corner McMurdo Street)",9,1,5,11,26,1
,"Walnut Ave Pavillion, 66 Walnut Avenue",16,3,7,14,40,4
Temuka,"St John Ambulance Rooms, 47 King Street",12,1,2,23,38,1
Timaru,"Aorangi Park, Netball South Canterbury Lounge, 70 Morgans Road",8,1,2,7,18,0
,"Ara Institute of Canterbury, Starz Restaurant, 32 Arthur Street",5,0,1,2,8,0
,"Te Aitarakihi Multi-Cultural Centre, 50 Bridge Road",8,0,2,4,14,1
,"The Warehouse Timaru, 11 Victoria Street",28,0,14,46,88,7
,"Timaru Indoor Bowls Stadium, opposite Northtown Mall, 20 Ranui Avenue",9,2,7,19,37,2
,"Timaru Library, 56 Sophia Street",26,1,10,30,67,1
Washdyke,"209 Hilton Meeting Room, by Robert Harris Cafe, 209 Hilton Highway",7,1,1,5,14,2
Rongotai
Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",10,0,1,8,19,0
Hataitai,"Hataitai Community House, 112 Waipapa Road",9,0,0,6,15,0
Island Bay,"Island Bay Presbyterian Church Lounge Hall, 88 The Parade",39,0,4,23,66,0
Kilbirnie,"Ākau Tangi Sports Centre, formerly ASB Sports Centre, 72 Kemp Street",34,0,2,19,55,0
,"Kilbirnie & Lyall Bay Community Centre, 56-58 Bay Road",54,1,7,38,100,3
,"Wellington Islamic Centre, 7-11 Queens Drive",8,0,0,3,11,0
Miramar,"Miramar & Maupuia Community Centre, 27 Chelsea Street",63,2,6,39,110,6
Mornington,"Vogelmorn Hall, 13 Vennell Street",6,0,0,1,7,0
Newtown,"Newtown Community Hall, 71 Daniell Street",5,0,3,2,10,0
,"New World Precinct, next to New World, 199 Riddiford Street",109,0,16,57,182,5
,"Riddiford Corner Shop, 15 Riddiford Street",11,0,0,6,17,0
,"Wellington Regional Hospital, Main Concourse, Ground Floor, Adelaide Road",23,1,4,15,43,1
Rongotai,"Wellington International Airport - AIRSIDE, Stewart Duff Drive",7,0,0,3,10,0
Strathmore Park,"Strathmore Park Community Centre, 108 Strathmore Avenue",4,0,0,2,6,0
Taken in Rongotai,"Care Homes, Team 2",1,0,0,8,9,0
