Party and Electorate Candidate Votes Recorded at each Voting Place
Dunedin 8,Candidate Vote Details
,,"BROOKING, Rachel","ELDER, Cyndee Marie","HERNANDEZ, Francisco Bagkus","LANGEVELD, Keegan John","LAWTON, Stephen John","McDERMOTT, Adrian Gordon","NEWMAN, Timothy","O'MALLEY, James Paul","PETERS, Benjamin Arthur","TAYLOR, Pamela","WOODHOUSE, Michael Allan",Total Valid Candidate Votes,Informal Candidate Votes
Portobello,"Portobello School, 30 Harrington Point Road",177,0,43,19,12,6,14,14,8,1,70,364,5
Ravensbourne,"Ravensbourne School, 8 Wanaka Street",161,3,41,15,9,5,15,3,12,0,55,319,3
Roslyn,"Roslyn Kindergarten, 69 Highgate",239,3,58,6,1,3,25,23,21,0,123,502,5
,"St John's Anglican Church Lounge, 373 Highgate",138,2,42,13,2,2,8,22,15,0,116,360,2
Sawyers Bay,"Sawyers Bay School, 99 Stevenson Avenue",182,0,39,16,13,13,16,9,17,1,103,409,3
South Dunedin,"Bathgate Park School, 213 Macandrew Road",24,0,9,3,2,1,3,1,3,0,12,58,0
,"Nations Church, 334 King Edward Street",44,0,19,3,7,2,7,3,10,0,28,123,3
Tainui,"Tainui School Library, 41 Tahuna Road",49,2,14,5,3,2,9,4,6,0,26,120,0
Waikouaiti,"East Otago Events Centre, 215 Main Road",103,1,29,22,13,6,17,12,5,1,104,313,3
Waitati,"Blueskin Bay Library, 28 Harvey Street",185,2,83,23,11,9,34,54,11,0,92,504,2
Wakari,"Wakari School Hall, 150 Helensburgh Road",344,4,68,34,12,10,37,31,22,2,184,748,4
Wānaka,"Lake Wānaka Centre, Armstrong Room, 89 Ardmore Street",3,0,2,0,0,1,0,0,0,0,1,7,1
Waverley,"Grant's Braes School, 137 Belford Street",269,0,45,18,8,3,33,31,30,1,246,684,5
Woodhaugh,"George Street Normal School Hall, 989 George Street",141,3,62,16,6,7,10,13,18,0,76,352,3

,Overseas Special Votes Including Defence Force - Dunedin,555,3,325,17,12,9,49,23,49,1,265,1308,7
,Special Votes BEFORE Polling Day - Dunedin,1152,14,1141,91,26,103,149,57,247,9,874,3863,54
,Special Votes ON Polling Day - Dunedin,836,22,524,95,60,69,106,43,149,3,549,2456,36
,Voting places where less than 6 votes were taken,3,0,0,1,0,1,0,0,0,0,4,9,0

,Dunedin Total,17111,160,8031,1304,540,564,1696,1272,1891,60,9131,41760,368

,Valid Candidate Votes plus Informal Candidate Votes,,42128

Electorate Candidate Valid Votes,Party,,,"BROOKING, Rachel - majority 7980"
"BROOKING, Rachel",Labour Party,17111,40.97
"ELDER, Cyndee Marie",New Conservatives,160,0.38
"HERNANDEZ, Francisco Bagkus",Green Party,8031,19.23
"LANGEVELD, Keegan John",New Zealand First Party,1304,3.12
"LAWTON, Stephen John",New Zealand Loyal,540,1.29
"McDERMOTT, Adrian Gordon",Aotearoa Legalise Cannabis Party,564,1.35
"NEWMAN, Timothy",ACT New Zealand,1696,4.06
"O'MALLEY, James Paul",Independent,1272,3.05
"PETERS, Benjamin Arthur",The Opportunities Party (TOP),1891,4.53
"TAYLOR, Pamela",Independent,60,0.14
"WOODHOUSE, Michael Allan",National Party,9131,21.87
