Party and Electorate Candidate Votes Recorded at each Voting Place
Auckland Central 1,Candidate Vote Details
,,"COKER, Christopher Hamish","DAVIE, Paul Clifford","KANE, Madeleine","LIU, Andi Shen","MURALIDHAR, Mahesh","POOLE, Felix Thomas","SIMS, Oscar Campbell","SLOCUM, Guy","SWARBRICK, Chlöe Charlotte","SYCAMORE, Damian Peter Melhuish",Total Valid Candidate Votes,Informal Candidate Votes
Mt Eden,"Auckland Grammar School, Hockey Centre, 3/25 Normanby Road",0,0,1,0,5,2,1,0,15,1,25,0
,"Valley Road International Church Hall, 393 Mount Eden Road",0,0,0,0,7,0,0,0,13,0,20,0
Mt Wellington,"Sylvia Park Shopping Centre, Centre Court, near Zara & Lush, 286 Mount Wellington Highway",0,0,0,0,2,0,0,0,8,0,10,0
Newmarket,"Westfield Newmarket, Shop S212, next to ProfessioNAIL, 309 Broadway",3,1,2,0,28,4,4,0,36,0,78,0
,"Westfield Newmarket, Shop S278, next to Aje, 277 Broadway",0,0,0,1,11,3,7,0,16,1,39,1
Oneroa,"Morra Hall, 115 Ocean View Road",7,4,5,0,111,7,17,0,189,10,350,3
Onetangi,"Onetangi Community Hall, 9 Third Avenue",6,1,2,1,99,8,21,1,163,4,306,2
Ostend,"Ostend Memorial Hall, 29 Belgium Street",11,1,4,0,86,13,42,2,206,8,373,4
Parnell,"Parnell Community Centre, Jubilee Hall, 545 Parnell Road",0,0,0,0,7,0,3,0,24,0,34,1
,"Parnell District School Hall, 48 Saint Stephens Avenue",0,0,0,0,29,3,2,0,21,0,55,0
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",0,0,0,0,6,1,0,0,6,0,13,1
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",3,5,5,1,373,13,46,0,370,5,821,10
,"Ponsonby Primary School, 44 Curran Street",2,4,1,0,149,6,6,1,101,3,273,1
,"St Mary's College, 11 New Street",1,0,1,0,153,6,17,0,108,1,287,1
Port Fitzroy,"Aotea Health, Fitzroy Nurses Cottage, 2077 Aotea Road",0,0,0,0,7,1,0,0,28,0,36,0
Remuera,"Remuera Baptist Church, 641 Remuera Road",0,0,0,0,5,2,0,0,5,0,12,0
Rocky Bay,"Rocky Bay Hall, 2 Glen Brook Road",2,0,0,1,39,4,14,3,79,1,143,2
Takapuna,"Shore City Shopping Centre, (corner Lake Road & Anzac Avenue)",0,0,0,0,3,0,1,0,3,0,7,0
Tryphena,"Mulberry Grove School, 271 Shoal Bay Road",3,1,1,0,19,3,5,0,55,1,88,4
Waiheke Island,"Waiheke High School, 11 Donald Bruce Road",10,2,2,1,92,10,25,5,211,11,369,5
Westmere,"Westmere School, 81 Garnet Road",0,0,0,0,4,0,0,0,10,0,14,0

,Overseas Special Votes Including Defence Force - Auckland Central,11,9,6,2,962,115,154,1,1589,35,2884,4
,Special Votes BEFORE Polling Day - Auckland Central,84,11,22,26,1723,226,489,13,2286,66,4946,84
,Special Votes ON Polling Day - Auckland Central,85,8,15,13,1048,175,274,10,1686,76,3390,51
,Voting places where less than 6 votes were taken,0,1,0,0,5,0,0,0,6,0,12,1

,Auckland Central Total,365,91,135,110,12728,1235,2608,89,16624,462,34447,299

,Valid Candidate Votes plus Informal Candidate Votes,,34746

Electorate Candidate Valid Votes,Party,,,"SWARBRICK, Chlöe Charlotte - majority 3896"
"COKER, Christopher Hamish",Aotearoa Legalise Cannabis Party,365,1.06
"DAVIE, Paul Clifford",Rock the Vote NZ,91,0.26
"KANE, Madeleine",Animal Justice Party ,135,0.39
"LIU, Andi Shen",Independent,110,0.32
"MURALIDHAR, Mahesh",National Party,12728,36.95
"POOLE, Felix Thomas",ACT New Zealand,1235,3.59
"SIMS, Oscar Campbell",Labour Party,2608,7.57
"SLOCUM, Guy",New Nation Party,89,0.26
"SWARBRICK, Chlöe Charlotte",Green Party,16624,48.26
"SYCAMORE, Damian Peter Melhuish",The Opportunities Party (TOP),462,1.34
