Party and Electorate Candidate Votes Recorded at each Voting Place
Southland 46,Candidate Vote Details
,,"EVANS, Logan","GRUMBALL, Anntwinette Maree","KENNEDY, David John","McCALLUM, Simon James Robertson","MACLEAN, Naomi","MOONEY, Joseph","STEPHENSON, Todd Michael",Total Valid Candidate Votes,Informal Candidate Votes
Lake Hayes Estate,"Gems Educational Childcare Lake Hayes Estate, 12 Onslow Road",14,13,105,94,4,325,51,606,1
Lawrence,"St John's Rooms, 10 Ross Place",1,0,0,2,0,6,3,12,0
Limehills,"Limehills School Hall, 8 Derby Road",17,0,4,12,2,142,19,196,0
Lochiel,"Lochiel School, (corner Lochiel Bridge Road & Smith Road)",4,0,0,0,0,45,3,52,0
Lumsden,"Lumsden Senior Citizen Rooms, 10 Diana Street",11,7,8,16,7,136,15,200,1
Manapouri,"Manapouri Hall, 11 Hall Road",12,1,16,25,0,71,15,140,1
Mandeville,"Mandeville Public Hall, 11 Waimea Valley Road",12,1,2,4,1,46,2,68,1
Mararoa,"Mararoa School, 2373 Te Anau-Mossburn Highway (State Highway 94)",8,0,3,0,0,60,1,72,0
Mataura,"Mataura Community Centre, 2 Macqueen Avenue",27,6,6,46,4,90,17,196,8
,"Mataura School Hall, 33 Oakland Street",23,7,5,25,1,58,2,121,1
Millers Flat,"Millers Flat School Library, 1655 Teviot Road",10,1,5,18,1,66,7,108,4
Mossburn,"Mossburn School, 28 Surrey Street",18,1,3,14,5,157,20,218,1
Otama,"Otama School, 702 Otama Road",14,0,1,1,0,92,5,113,0
Owaka,"Owaka Memorial Community Centre, 3 Ovenden Street",19,13,20,59,6,185,30,332,3
Pukerau,"Pukerau School, 30 Pukerau Street",11,1,3,4,1,60,8,88,1
Queenstown,"Queenstown Memorial Centre, 1 Memorial Street",15,13,74,69,0,185,27,383,0
,"Queenstown Primary School Hall, 20 Robins Road",8,6,41,35,0,89,7,186,3
Riversdale,"Riversdale School, 28 Rutland Street",19,7,6,13,2,230,19,296,3
Roxburgh,"Roxburgh Area School Library, 78 Scotland Street",30,3,10,26,1,79,17,166,1
,"Roxburgh Memorial Hall, 120 Scotland Street",23,2,5,21,1,74,6,132,1
Tahakopa,"Tahakopa School, 921 Tahakopa Valley Road",2,3,8,7,0,24,2,46,1
Tapanui,"Blue Mountain College School Hall, State Highway 90",44,2,8,28,5,128,20,235,1
Te Anau,"Fiordland Community Events Centre, 22 Luxmore Drive",49,12,51,68,8,371,75,634,9
Waikaia,"Switzers Museum, 39 Blaydon Street",20,3,4,11,2,100,5,145,4
Waikaka,"Waikaka School, 22 Matheson Road",21,0,0,5,6,137,7,176,1
Waikoikoi,"Waikoikoi Public Hall, (corner State Highway 90 & Koi Flat Road)",10,0,0,4,1,73,8,96,2
Waimumu,"Waimumu Te Tipua Hall, (corner Waimumu Road & Glendhu Road)",20,2,4,1,0,62,4,93,0
Waipahi,"Waipahi Community Centre, 54 Railway Terrace",11,0,1,1,2,43,1,59,0
Waiwera South,"Waiwera South School, 16 May Street",2,1,0,0,0,27,7,37,0
Wānaka,"Lake Wānaka Centre, Armstrong Room, 89 Ardmore Street",1,1,3,2,0,10,0,17,0
,"Presbyterian Community Church Centre, 91 Tenby Street",0,0,1,1,0,4,1,7,0
Winton,"Winton Memorial Hall, 2 Meldrum Street",30,9,16,39,2,248,36,380,8
,"Winton Primary School Hall, 16 Eglinton Street",25,2,12,42,1,200,24,306,1

,Overseas Special Votes Including Defence Force - Southland,29,11,185,160,2,539,72,998,1
,Special Votes BEFORE Polling Day - Southland,119,59,357,341,21,1236,191,2324,47
,Special Votes ON Polling Day - Southland,229,118,448,479,20,1459,244,2997,42
,Voting places where less than 6 votes were taken,0,2,2,0,0,2,0,6,0

,Southland Total,2172,687,3860,6020,228,23231,2807,39005,437

,Valid Candidate Votes plus Informal Candidate Votes,,39442

Electorate Candidate Valid Votes,Party,,,"MOONEY, Joseph - majority 17211"
"EVANS, Logan",New Zealand Loyal,2172,5.57
"GRUMBALL, Anntwinette Maree",Aotearoa Legalise Cannabis Party,687,1.76
"KENNEDY, David John",Green Party,3860,9.90
"McCALLUM, Simon James Robertson",Labour Party,6020,15.43
"MACLEAN, Naomi",Vision New Zealand,228,0.58
"MOONEY, Joseph",National Party,23231,59.56
"STEPHENSON, Todd Michael",ACT New Zealand,2807,7.20
