Party and Electorate Candidate Votes Recorded at each Voting Place
Hutt South 14,Candidate Vote Details
,,"ANDERSEN, Virginia Ruby","BISHOP, Christopher","BLAKE, Jordan","DONOGHUE, Lee","JENNINGS, Neelusha","PARKINS, Andrew John","RANGITUTIA, Max","WYLIE-VAN EERD, Benjamin James",Total Valid Candidate Votes,Informal Candidate Votes
,"Waterloo School, 26 Hardy Street",486,498,12,25,29,6,2,17,1075,9
Wellington City,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",11,12,0,0,3,1,0,2,29,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",8,6,0,0,2,2,0,2,20,0
Woburn,"Hutt Valley High School, 84-114 Woburn Road",156,235,5,18,14,4,1,4,437,4

,Overseas Special Votes Including Defence Force - Hutt South,553,611,4,28,156,23,6,39,1420,7
,Special Votes BEFORE Polling Day - Hutt South,1225,1341,26,78,320,49,10,88,3137,55
,Special Votes ON Polling Day - Hutt South,1146,1048,46,93,285,36,14,86,2754,63
,Voting places where less than 6 votes were taken,3,0,0,0,2,0,0,0,5,0

,Hutt South Total,17812,19144,403,1228,2492,556,171,980,42786,361

,Valid Candidate Votes plus Informal Candidate Votes,,43147

Electorate Candidate Valid Votes,Party,,,"BISHOP, Christopher - majority 1332"
"ANDERSEN, Virginia Ruby",Labour Party,17812,41.63
"BISHOP, Christopher",National Party,19144,44.74
"BLAKE, Jordan",New Zealand Loyal,403,0.94
"DONOGHUE, Lee",New Zealand First Party,1228,2.87
"JENNINGS, Neelusha",Green Party,2492,5.82
"PARKINS, Andrew John",ACT New Zealand,556,1.30
"RANGITUTIA, Max",Vision New Zealand,171,0.40
"WYLIE-VAN EERD, Benjamin James",The Opportunities Party (TOP),980,2.29
