Party and Electorate Candidate Votes Recorded at each Voting Place
New Plymouth 29,Candidate Vote Details
,,"BENNETT, Glen Thomas","McGECHAN, Bruce","MacLEOD, David Nigel","ROBINSON, Gregory","WATKINS, Hamish","WILLETTS, Warren John",Total Valid Candidate Votes,Informal Candidate Votes
,Special Votes ON Polling Day - New Plymouth,890,176,1069,25,54,193,2407,46
,Voting places where less than 6 votes were taken,1,0,2,0,0,1,4,0

,New Plymouth Total,15492,1957,22483,252,562,1738,42484,499

,Valid Candidate Votes plus Informal Candidate Votes,,42983

Electorate Candidate Valid Votes,Party,,,"MacLEOD, David Nigel - majority 6991"
"BENNETT, Glen Thomas",Labour Party,15492,36.47
"McGECHAN, Bruce",ACT New Zealand,1957,4.61
"MacLEOD, David Nigel",National Party,22483,52.92
"ROBINSON, Gregory",New Nation Party,252,0.59
"WATKINS, Hamish",Animal Justice Party ,562,1.32
"WILLETTS, Warren John",New Zealand Loyal,1738,4.09
