Party and Electorate Candidate Votes Recorded at each Voting Place
Coromandel 7,Candidate Vote Details
,,"ANSELL, Caleb John","COBB, Raymond Lawrence","GREALEY, Pamela","RILEY, Beryl","SIMPSON, Scott","TEPOU, Sarai","VERBURG, Joanna",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
,"Thames War Memorial Civic Centre Auditorium, 200 Mary Street",36,51,77,94,192,2,14,466,4
Turua,"Turua Primary School, 523 Hauraki Road",24,17,11,29,154,0,13,248,3
Waihi,"Waihi East School, 8 Donnelly Street",18,14,7,47,70,2,12,170,0
,"Waihi War Memorial Hall, 41 Seddon Street",66,67,68,121,268,8,27,625,8
Waihi Beach,"Waihi Beach Community Centre, 106 Beach Road",24,20,55,56,202,5,17,379,4
Waikino,"Victoria Hall, 8561 State Highway 2",10,18,23,20,46,2,7,126,1
Waitakaruru,"Waitakaruru School, 8 Canal West Road (corner State Highway 25)",11,14,11,26,100,1,11,174,3
Whakamārama,"Whakamarama Community Centre, 469 Whakamarama Road",20,17,21,29,121,1,11,220,1
Whangamatā,"Whangamatā Memorial Hall, 328 Port Road",26,63,75,76,293,7,44,584,2
Whenuakite,"Whenuakite School, 1055 State Highway 25",8,21,13,8,46,1,4,101,0
Whiritoa,"Whiritoa Emergency Management Centre, 44 Whiritoa Beach Road",6,5,15,20,53,1,6,106,2
Whitianga,"Crossroads Encounter Fellowship, 36 Cook Drive",23,41,57,64,259,1,30,475,4
,"Mercury Bay Area School, 20 South Highway",12,11,37,24,55,1,19,159,1
,"Mercury Bay Community Board Room, 10 Monk Street",13,24,58,38,142,1,25,301,3

,Overseas Special Votes Including Defence Force - Coromandel,50,24,171,144,532,4,56,981,2
,Special Votes BEFORE Polling Day - Coromandel,227,199,392,543,1644,22,273,3300,80
,Special Votes ON Polling Day - Coromandel,193,243,341,345,1041,24,184,2371,50
,Voting places where less than 6 votes were taken,1,0,1,1,5,0,1,9,0

,Coromandel Total,3145,2315,4940,7733,25082,256,2741,46212,518

,Valid Candidate Votes plus Informal Candidate Votes,,46730

Electorate Candidate Valid Votes,Party,,,"SIMPSON, Scott - majority 17349"
"ANSELL, Caleb John",New Zealand First Party,3145,6.81
"COBB, Raymond Lawrence",New Zealand Loyal,2315,5.01
"GREALEY, Pamela",Green Party,4940,10.69
"RILEY, Beryl",Labour Party,7733,16.73
"SIMPSON, Scott",National Party,25082,54.28
"TEPOU, Sarai",NZ Outdoors & Freedom Party,256,0.55
"VERBURG, Joanna",ACT New Zealand,2741,5.93
