Party and Electorate Candidate Votes Recorded at each Voting Place
North Shore 30,Candidate Vote Details
,,"BASKETT, Pat","GRAY, Abraham Gabriel","HAMPTON, George","WATTS, Simon Glen","YALLOP, Anna Marie",Total Valid Candidate Votes,Informal Candidate Votes
,Voting places where less than 6 votes were taken,1,1,6,11,1,20,1

,North Shore Total,3663,1229,8562,24892,2061,40407,559

,Valid Candidate Votes plus Informal Candidate Votes,,40966

Electorate Candidate Valid Votes,Party,,,"WATTS, Simon Glen - majority 16330"
"BASKETT, Pat",Green Party,3663,9.07
"GRAY, Abraham Gabriel",The Opportunities Party (TOP),1229,3.04
"HAMPTON, George",Labour Party,8562,21.19
"WATTS, Simon Glen",National Party,24892,61.60
"YALLOP, Anna Marie",ACT New Zealand,2061,5.10
