Party and Electorate Candidate Votes Recorded at each Voting Place
Manurewa 22,Candidate Vote Details
,,"KILARI, Siva Sekhara Naidu","MCLEAN, Rangi","WARREN, Caine","WILLIAMS, Arena",Total Valid Candidate Votes,Informal Candidate Votes
,"Youthline Manukau, 145 Saint George Street",87,4,13,137,241,10
Randwick Park,"Alfriston College, Gymnasium, 550 Porchester Road",4,0,1,6,11,0
,"Randwick Park School Hall, Magic Way entrance",0,1,0,12,13,2
Takanini,"Takanini Hall, 8 Takanini Road",9,1,5,9,24,1
The Gardens,"Auckland Botanic Gardens, Education Centre, 102 Hill Road",18,2,2,18,40,0
Wattle Downs,"Clayton Park School Hall, 187 Coxhead Road, Wattle Farm Road entrance",3,0,2,8,13,1
,"Elim Christian Centre, Gate 1 & 2, 198 Mahia Road",24,2,13,80,119,3
Weymouth,"Weymouth Primary School Hall, 23 Evans Road",109,40,25,206,380,8
Wiri,"Wiri Community Hall, 15 Inverell Avenue",43,14,14,225,296,4

,Overseas Special Votes Including Defence Force - Manurewa,135,28,5,190,358,4
,Special Votes BEFORE Polling Day - Manurewa,1735,305,120,2427,4587,252
,Special Votes ON Polling Day - Manurewa,1008,258,116,2071,3453,166
,Voting places where less than 6 votes were taken,4,1,1,7,13,3

,Manurewa Total,9148,1604,991,16261,28004,1058

,Valid Candidate Votes plus Informal Candidate Votes,,29062

Electorate Candidate Valid Votes,Party,,,"WILLIAMS, Arena - majority 7113"
"KILARI, Siva Sekhara Naidu",National Party,9148,32.67
"MCLEAN, Rangi",Te Pāti Māori,1604,5.73
"WARREN, Caine",Vision New Zealand,991,3.54
"WILLIAMS, Arena",Labour Party,16261,58.07
