Party and Electorate Candidate Votes Recorded at each Voting Place
Napier 26,Candidate Vote Details
,,"DICKEY, Julienne","HUTCHINSON, Mark","LANGFORD, Martin","MILEWSKI, Pawel Michal","NIMON, Katrina Margaret","SMITH, John Clive","TURNBULL, Laurie",Total Valid Candidate Votes,Informal Candidate Votes
Tutira,"Tutira School, 9 Matahorua Road",0,11,3,4,75,1,9,103,0
Waerengaokurī,"Waerenga-O-Kuri School, 1763 Tiniroto Road",3,5,0,3,38,0,2,51,1
Wairoa,"Tapuae Sports Club, 58 Hunterbrown Street",2,31,0,1,13,0,6,53,0
,"Wairoa College, 20 Lucknow Street",2,53,1,4,51,0,14,125,3
,"Wairoa War Memorial Hall, 93 Queen Street",17,124,5,9,92,4,42,293,7
Westshore,"Westshore School Hall, Alfred Street",13,110,15,7,227,2,11,385,2

,Overseas Special Votes Including Defence Force - Napier,100,236,7,33,447,1,18,842,8
,Special Votes BEFORE Polling Day - Napier,250,883,46,105,1324,14,115,2737,46
,Special Votes ON Polling Day - Napier,181,621,46,75,877,22,108,1930,50
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,0,0

,Napier Total,2190,12474,765,1215,21383,215,1729,39971,429

,Valid Candidate Votes plus Informal Candidate Votes,,40400

Electorate Candidate Valid Votes,Party,,,"NIMON, Katrina Margaret - majority 8909"
"DICKEY, Julienne",Green Party,2190,5.48
"HUTCHINSON, Mark",Labour Party,12474,31.21
"LANGFORD, Martin",DemocracyNZ,765,1.91
"MILEWSKI, Pawel Michal",ACT New Zealand,1215,3.04
"NIMON, Katrina Margaret",National Party,21383,53.50
"SMITH, John Clive",Independent,215,0.54
"TURNBULL, Laurie",New Zealand First Party,1729,4.33
