Party and Electorate Candidate Votes Recorded at each Voting Place
Waikato 56,Candidate Vote Details
,,"DORNAN, Lois Emere","HUSBAND, Stuart Thomas","OWEN, Megan","TOKO, Jamie","VAN DE MOLEN, Timothy John",Total Valid Candidate Votes,Informal Candidate Votes
Waharoa,"Te Kura O Waharoa, 32 Ward Street",1,7,1,30,39,78,4
Waihou,"Waihou Community Hall, 2 Second Avenue",4,31,6,40,111,192,4
Walton,"Walton School, Marlow Room, 305 Walton Road",0,17,6,14,141,178,3
Wardville,"Wairere School, 413 Wardville Road",1,7,2,11,74,95,0
Whitikahu,"Whitikahu School, 763 Whitikahu Road",3,20,8,28,163,222,2

,Overseas Special Votes Including Defence Force - Waikato,7,42,46,162,436,693,6
,Special Votes BEFORE Polling Day - Waikato,35,239,129,861,2106,3370,92
,Special Votes ON Polling Day - Waikato,40,287,167,700,1965,3159,96
,Voting places where less than 6 votes were taken,0,0,0,6,3,9,1

,Waikato Total,420,3587,1548,8897,27445,41897,694

,Valid Candidate Votes plus Informal Candidate Votes,,42591

Electorate Candidate Valid Votes,Party,,,"VAN DE MOLEN, Timothy John - majority 18548"
"DORNAN, Lois Emere",Vision New Zealand,420,1.00
"HUSBAND, Stuart Thomas",New Zealand First Party,3587,8.56
"OWEN, Megan",The Opportunities Party (TOP),1548,3.69
"TOKO, Jamie",Labour Party,8897,21.24
"VAN DE MOLEN, Timothy John",National Party,27445,65.51
